"thallus.width"	"thallus.length"	"thallus.violet.pigments"	"ventral.scales"	"ventral.scales.slime.cells"	"ventral.scales.violet.pigments"	"ventral.scales.hairs"	"air.pores"	"air.pores.width.adaxial"	"air.pores.height.adaxial"	"air.pores.cells.cross"	"air.pores.width.cross"	"air.pores.height.cross"	"epidermis.cells.width.cross"	"epidermis.cells.height.cross"	"subepidermis.cells.width.cross"	"subepidermis.cells.height.cross"	"thallus.width.cross"	"thallus.height.cross"	"thallus.wing.height.cross"	"thallus.wing.angle.cross"	"thallus.wing.width.cross"	"thallus.area.cross"	"thallus.width.mean"	"thallus.width.variance"	"thallus.width.skewness"	"thallus.width.kurtosis"	"thallus.length.mean"	"thallus.length.variance"	"thallus.length.skewness"	"thallus.length.kurtosis"	"air.pores.width.adaxial.mean"	"air.pores.width.adaxial.variance"	"air.pores.width.adaxial.skewness"	"air.pores.width.adaxial.kurtosis"	"air.pores.height.adaxial.mean"	"air.pores.height.adaxial.variance"	"air.pores.height.adaxial.skewness"	"air.pores.height.adaxial.kurtosis"	"air.pores.cells.cross.mean"	"air.pores.cells.cross.variance"	"air.pores.cells.cross.skewness"	"air.pores.cells.cross.kurtosis"	"air.pores.width.cross.mean"	"air.pores.width.cross.variance"	"air.pores.width.cross.skewness"	"air.pores.width.cross.kurtosis"	"air.pores.height.cross.mean"	"air.pores.height.cross.variance"	"air.pores.height.cross.skewness"	"air.pores.height.cross.kurtosis"	"epidermis.cells.width.cross.mean"	"epidermis.cells.width.cross.variance"	"epidermis.cells.width.cross.skewness"	"epidermis.cells.width.cross.kurtosis"	"epidermis.cells.height.cross.mean"	"epidermis.cells.height.cross.variance"	"epidermis.cells.height.cross.skewness"	"epidermis.cells.height.cross.kurtosis"	"subepidermis.cells.width.cross.mean"	"subepidermis.cells.width.cross.variance"	"subepidermis.cells.width.cross.skewness"	"subepidermis.cells.width.cross.kurtosis"	"subepidermis.cells.height.cross.mean"	"subepidermis.cells.height.cross.variance"	"subepidermis.cells.height.cross.skewness"	"subepidermis.cells.height.cross.kurtosis"	"thallus.width.cross.mean"	"thallus.width.cross.variance"	"thallus.width.cross.skewness"	"thallus.width.cross.kurtosis"	"thallus.height.cross.mean"	"thallus.height.cross.variance"	"thallus.height.cross.skewness"	"thallus.height.cross.kurtosis"	"thallus.wing.height.cross.mean"	"thallus.wing.height.cross.variance"	"thallus.wing.height.cross.skewness"	"thallus.wing.height.cross.kurtosis"	"thallus.wing.angle.cross.mean"	"thallus.wing.angle.cross.variance"	"thallus.wing.angle.cross.skewness"	"thallus.wing.angle.cross.kurtosis"	"thallus.wing.width.cross.mean"	"thallus.wing.width.cross.variance"	"thallus.wing.width.cross.skewness"	"thallus.wing.width.cross.kurtosis"
"Asterella.gracilis"	1813.677	2609.24	1	1	1	1	0	1	9.9605	11.363	4	9.0735	11.754	15.711	18.742	NA	NA	2156.076	495.779	NA	NA	NA	870335.0465	23788524.0089286	9778516027628730368	0.00814243352170712	6.98384683096414e-05	26284030.4056333	6.49662685941034e+20	0.00114641491955509	5.79411223190573e-06	617.262408166667	9754025.28919095	0.455267539312355	0.089040051312805	741.770728166667	5662239.92389086	0.671060474902877	0.144858968890509	56.25	6348.67350260417	1.33281475098936	0.594742947981651	306.40752025	3864921.30724707	0.269425443993822	0.0531934601063385	760.7364552	12325712.9022548	0.37889403714965	0.0693941704772925	2007.403203125	5650736228.10097	0.0439682503458967	0.00308957075213059	2569.907278125	10287643312.5933	0.0421453661475911	0.00280219616737816	0	0	0	0	0	0	0	0	17251823.9214922	4375962628818987520	0.00766581125403894	7.46325581279508e-05	933468.04408225	15547592209714304	0.00652390930968905	9.78702383176977e-05	0	0	0	0	0	0	0	0	0	0	0	0
"Athalamia.hyalina.var..suecica"	1743.435	5034.119	1	1	0	1	0	1	15.65	11.869	2	12.45	15.3065	24.817	24.935	NA	NA	1779.854	608.564	NA	NA	NA	982465.5535	12038464.183201	5258466963249397760	0.00437866916944841	3.75564324928442e-05	96755866.639936	1.43927465021689e+21	0.00253977028723449	1.28361968221739e-05	1935.69874514286	18057322.8853092	0.829167428249425	0.159539053081048	1088.65594514286	7340603.84551677	0.865934418543119	0.186058088388141	20.25	4384.9228515625	0.987671702938217	0.472863702684113	619.064161	5372335.80997305	0.370350802515227	0.072307793840539	1309.981056	17525158.793979	0.535783868413977	0.0975925802536916	4936.7016125	8837605764.5821	0.0686725226161994	0.00481899183616778	3230.627805	9102729752.4369	0.0372581327244555	0.0024750574960005	0	0	0	0	0	0	0	0	16527914.3956322	4788835487796133888	0.00838917645673334	8.167599414234e-05	2097899.288064	28544222539738200	0.0119769550986759	0.00017966876429378	0	0	0	0	0	0	0	0	0	0	0	0
"Mannia.fragrans"	2272.661	13831.433	1	1	1	1	0	1	16.701	19.5755	5.5	13.831	16.7135	16.365	22.3195	NA	NA	2039.593	559.396	NA	NA	NA	651232.1295	34323718.1810413	11745585332656793600	0.00978025284187043	8.38850785098402e-05	1241084866.05224	6.81864093103519e+21	0.0120319245551457	6.08083958608141e-05	2675.165284	23995641.8164251	1.10013609413984	0.211347134163483	2648.573371125	11761699.3773684	1.36007891319219	0.286462961360918	121	7794.64822048611	1.49718121776967	0.611258530966587	1249.614247	10040736.2412316	0.690235532688422	0.134384985507406	1673.70742016667	19638066.6589384	0.597779688138548	0.108413427157166	1993.108816125	5630676586.13613	0.0438125374263663	0.00307865513082186	4040.645408	12885929558.8709	0.0527613976951569	0.00350615895468379	0	0	0	0	0	0	0	0	19846714.835205	5247574500487503872	0.009192734737336	8.94986598488581e-05	1932008.24786414	29588570249386608	0.0124154447357643	0.000186250968088659	0	0	0	0	0	0	0	0	0	0	0	0
"Reboulia.hemisphaerica.subsp..hemisphaerica"	1785.727	7206.5205	1	1	1	1	0	1	13.477	7.378	6.5	12.206	19.9935	22.004	27.5	NA	NA	1972.434	473.757	NA	NA	NA	677988.5465	22396561.7117611	1.014334565993e+19	0.00844627429767181	7.24449892002222e-05	294581252.59353	2.51128388908412e+21	0.00443139731340236	2.23963237827253e-05	1339.71222857143	15236388.1738212	0.704598626854234	0.136532946583943	360.220889285714	4378192.71880798	0.525908356778407	0.115062977157449	169	8259.06532118056	1.50210609494324	0.580688236744677	1581.4688	12023997.4499374	0.824808514994972	0.160243004224541	2929.8747005	29672976.362982	0.89827159067431	0.162014436161903	3673.98506057143	7135763559.14264	0.0554644360491952	0.00389326140381298	5277.92184914286	13759868924.4887	0.0563065658827233	0.00373954320326263	0	0	0	0	0	0	0	0	25072672.7315571	6978826590403145728	0.0122256064109633	0.000119026620091671	1795310.55577729	28522991982831160	0.0119684050486327	0.000179545875964454	0	0	0	0	0	0	0	0	0	0	0	0
"Riccia.beyrichiana"	1801.835	7660.3665	0	0	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2432.861	593.3505	869.718	130.374	172.631	1444734.3095	39365924.8661333	16469941399942369280	0.013714305902033	0.000117629113912791	537019328.52792	4.79517501154523e+21	0.00846155079533306	4.27648188932689e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28794715.4424402	6320555856274237440	0.0110721938057794	0.00010779479048987	2867042.6070125	38530983629488336	0.0161672880220676	0.000242528182125022	5865747.72089657	2780000699754346	0.132755198257017	0.00364612715990473	79951.5531392	3004257630158.81	0.0519689349838989	0.00225956898102753	369754.640942286	1484804733264116	0.0294413367810114	0.000775844623117196
"Riccia.bifurca"	1579.5965	8782.6645	0	0	0	0	NA	0	NA	NA	NA	NA	NA	47.523	28.94	20.275	18.215	2948.568	704.068	188.084	154.832	306.5825	1667685.9205	33576866.5289441	15210947788958654464	0.0126660220158072	0.000108638413900597	462688594.004011	3.85462951848595e+21	0.00680185237028676	3.43766005831409e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12160.6351778	10885303382.3432	0.0842736921560129	0.00589207569962396	4632.2374688	10887003438.2837	0.0445348690301908	0.0029566966509354	6170.77453333333	3251240681.46693	0.205359424276327	0.0186967460857916	4242.182448	3604962374.49762	0.149349130967063	0.0130159289234355	41580260.6402178	7594936821357682688	0.0133043423819861	0.000129523433471941	3024053.32470417	34267647997674688	0.0143778628574377	0.000215676254664383	191751.919860167	466391406361714	0.0222968031422019	0.00061306751445956	167473.582889286	5140497870665.82	0.0888861247430133	0.00386311738085204	542107.452180167	1664247245081586	0.0329969684696985	0.000869479374754497
"Riccia.canaliculata"	602.151	4420.9615	0	1	0	1	0	1	NA	NA	2	13.402	6.001	18.9	18.216	0	0	704.936	359.8675	0	0	0	208235.223	4317397.59204675	5454828103766705152	0.00454236426934345	3.8962073697587e-05	144329982.040008	2.4859961582402e+21	0.00438684502139927	2.21715113537442e-05	0	0	0	0	0	0	0	0	20	4983.12608506945	1.13512514679134	0.549614683054842	914.4658322	7252130.62838847	0.4982892659511	0.0969659212137303	171.991125	6031541.0905436	0.188093671263247	0.0349477781944559	3698.92130627273	8987766414.21597	0.0699074566354891	0.00491043582732816	4503.96700509091	15961328263.808	0.065370892903913	0.00434524806814784	0	0	0	0	0	0	0	0	2505548.339405	1864722873523650048	0.00326681632327107	3.18068619713583e-05	767185.029366	17264242660109932	0.0072445517657016	0.000108685964820861	0	0	0	0	0	0	0	0	0	0	0	0
"Riccia.cavernosa"	4629.414	3034.704	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	43.681	31.8	41.469	43.9205	1362.493	649.462	0	0	0	704340.4325	82801664.609764	13788096561735315456	0.0114800264131287	9.84556566832798e-05	40140964.8046178	1.03647928662078e+21	0.00182900434277817	9.24400163686349e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8850.26592	9306516231.63754	0.0721293317348756	0.00504848988764984	6087.5374592	12467406716.5869	0.0509728741815521	0.00338233709249616	12593.8104615	3240477993.35748	0.203309514105945	0.018386209430899	16064.833128125	5653640262.5287	0.232699230930188	0.0201480133359734	9339820.0676552	3600039181679403520	0.00630674367278847	6.14028912763286e-05	2674293.71174629	34809328497034296	0.0146056115957117	0.00021909971161787	0	0	0	0	0	0	0	0	0	0	0	0
"Riccia.ciliifera.HAL"	2501.466	4645.8	1	1	1	1	1	0	NA	NA	NA	NA	NA	37.32	61.9655	20.9355	26.0795	2650.157	940.894	336.907	89.5255	847.931	1237516.608	44906159.8777042	12437715336114577408	0.0103563758854237	8.8824794546335e-05	114929007.556005	1.75378057379597e+21	0.00309475459110637	1.56411378780646e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8633.05794057143	10898404430.2593	0.0845554270338374	0.00592440673532931	24258.995912	31331150475.1395	0.127791408159272	0.00845944243766856	3655.509760125	2044722487.34254	0.129200223460832	0.0117673326482053	5685.031765125	3394049630.80558	0.140334937313874	0.0122062968125009	29127604.7782728	6356978480102090752	0.0111359913483565	0.000108415834469348	6234289.81765714	53135511568179616	0.0222925170394847	0.000334373079578025	615394.41138	762325000809550	0.0364350096756644	0.0010015468288588	49163.9465626667	2583392323995.52	0.0447119215823172	0.00194505303924578	3305427.1336328	3747441091850494	0.0742607365791724	0.00195574729439922
"Riccia.ciliifera.SWE"	2204.738	4489.3605	1	1	0	1	1	0	NA	NA	NA	NA	NA	51.729	45.0465	31.919	34.022	2460.986	978.671	445.408	127.4615	525.082	1283958.6035	40242435.7388413	12717854306800576512	0.010589766181339	9.08276570852408e-05	133599996.31278	2.07135489892945e+21	0.00365515331314083	1.84734431216851e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9983.50680625	8819927355.19896	0.0682770133793359	0.00477319125101214	7336.17945225	12218553152.5823	0.0499085593117354	0.00330860601559077	7035.97770416667	2438455721.51375	0.153505723606437	0.0139290066833813	7151.37040816667	3283693684.82962	0.135504297298291	0.0117628891375814	34710119.4666802	7601815939895834624	0.0133166704596695	0.000129646155764037	7641047.414912	62885932782650432	0.0263829044938165	0.000395721512334847	1294145.20462857	1307719562391275	0.0624944142379741	0.00171767671270866	121985.8921125	4694354971948.91	0.0812084602288874	0.00353103294090035	1678354.9369472	2671617779010486	0.0529546939484136	0.00139496607983019
