"frequency"
"Organic compounds; Alkaloids and derivatives"	81
"Organic compounds; Alkaloids and derivatives; Ergoline and derivatives; Lysergic acids and derivatives; Ergopeptines"	9
"Organic compounds; Alkaloids and derivatives; Harmala alkaloids"	3
"Organic compounds; Alkaloids and derivatives; Lupin alkaloids"	8
"Organic compounds; Alkaloids and derivatives; Lupin alkaloids; Lupinine-type alkaloids"	12
"Organic compounds; Alkaloids and derivatives; Yohimbine alkaloids"	17
"Organic compounds; Benzenoids"	417
"Organic compounds; Benzenoids; Anthracenes; Anthracenecarboxylic acids and derivatives; Anthracenecarboxylic acids"	21
"Organic compounds; Benzenoids; Benzene and substituted derivatives"	571
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Anilides"	7
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Anilides; Aromatic anilides"	7
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Aniline and substituted anilines"	64
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonamides"	157
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonamides; Aminobenzenesulfonamides"	3
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonic acids and derivatives"	27
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonyl compounds"	106
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives"	46
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Benzamides"	3
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Benzoic acid esters"	18
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Halobenzoic acids and derivatives"	35
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Hydroxybenzoic acid derivatives"	40
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Methoxybenzoic acids and derivatives"	15
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Nitrobenzoic acids and derivatives"	3
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Sulfanylbenzoic acids and derivatives"	7
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzophenones"	7
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoyl derivatives"	10
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzylamines"	3
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Biphenyls and derivatives"	4
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Diphenylmethanes"	17
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Halobenzenes"	20
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Halobenzenes; Bromobenzenes"	86
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Halobenzenes; Chlorobenzenes"	153
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Halobenzenes; Fluorobenzenes"	243
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Halobenzenes; Iodobenzenes"	16
"Organic compounds; Benzenoids; Benzene and substituted derivatives; N-phenylureas"	29
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Nitrobenzenes"	227
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenethylamines"	11
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenoxy compounds"	19
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenylphosphines and derivatives"	3
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenylpropanes"	9
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Styrenes"	4
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Sulfanilides"	7
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Trifluoromethylbenzenes"	81
"Organic compounds; Benzenoids; Naphthalenes"	48
"Organic compounds; Benzenoids; Naphthalenes; Naphthalene sulfonic acids and derivatives; 1-naphthalene sulfonic acids and derivatives"	1
"Organic compounds; Benzenoids; Naphthalenes; Naphthols and derivatives"	7
"Organic compounds; Benzenoids; Phenol ethers"	253
"Organic compounds; Benzenoids; Phenol ethers; Anisoles"	115
"Organic compounds; Benzenoids; Phenols"	12
"Organic compounds; Benzenoids; Phenols; 1-hydroxy-2-unsubstituted benzenoids"	93
"Organic compounds; Benzenoids; Phenols; Benzenediols"	3
"Organic compounds; Benzenoids; Phenols; Benzenediols; Catechols"	5
