"frequency"
"Alkaloids; Anthranilic acid alkaloids; Acridone alkaloids"	4
"Alkaloids; Anthranilic acid alkaloids; Aminoacids"	42
"Alkaloids; Anthranilic acid alkaloids; Benzodiazepine alkaloids"	8
"Alkaloids; Anthranilic acid alkaloids; Carboline alkaloids"	13
"Alkaloids; Anthranilic acid alkaloids; Cephalosporins"	12
"Alkaloids; Anthranilic acid alkaloids; Chalcones"	6
"Alkaloids; Anthranilic acid alkaloids; Imidazole alkaloids"	7
"Alkaloids; Anthranilic acid alkaloids; p-Terphenyls"	41
"Alkaloids; Anthranilic acid alkaloids; Penicillins"	3
"Alkaloids; Anthranilic acid alkaloids; Phenazine alkaloids"	24
"Alkaloids; Anthranilic acid alkaloids; Phenoxazine alkaloids"	3
"Alkaloids; Anthranilic acid alkaloids; Phenylalanine-derived alkaloids"	14
"Alkaloids; Anthranilic acid alkaloids; Pyridine alkaloids"	103
"Alkaloids; Anthranilic acid alkaloids; Pyrrole alkaloids"	5
"Alkaloids; Anthranilic acid alkaloids; Quinazoline alkaloids"	117
"Alkaloids; Anthranilic acid alkaloids; Quinoline alkaloids"	34
"Alkaloids; Anthranilic acid alkaloids; Simple amide alkaloids"	3
"Alkaloids; Anthranilic acid alkaloids; Simple oxindole alkaloids"	3
"Alkaloids; Anthranilic acid alkaloids; Thiodiketopiperazine alkaloids"	11
"Alkaloids; Anthranilic acid alkaloids; Tropolones and derivatives Shikimate"	9
"Alkaloids; Chromanes; Simple coumarins"	2
"Alkaloids; Coumarins; Simple coumarins"	4
"Alkaloids; Diterpenoids; Quinolizidine alkaloids"	35
"Alkaloids; Diterpenoids; Steroidal alkaloids"	38
"Alkaloids; Eicosanoids; Prostaglandins"	8
"Alkaloids; Eicosanoids; Pyridine alkaloids"	7
"Alkaloids; Fatty Acids and Conjugates; Phenylalanine-derived alkaloids"	15
"Alkaloids; Fatty acyls; Fatty alcohols"	43
"Alkaloids; Fatty acyls; Glycerophosphoethanolamines"	3
"Alkaloids; Fatty acyls; Halogenated hydrocarbons"	7
"Alkaloids; Fatty acyls; Linear peptides"	3
"Alkaloids; Fatty acyls; Piperidine alkaloids"	67
"Alkaloids; Fatty acyls; Pyridine alkaloids"	4
"Alkaloids; Fatty acyls; Thiodiketopiperazine alkaloids"	1
"Alkaloids; Fatty amides; N-acyl amines"	29
"Alkaloids; Fatty amides; Primary amides"	12
"Alkaloids; Fatty amides; Pyrrolidine alkaloids"	3
"Alkaloids; Flavonoids; Chalcones"	12
"Alkaloids; Flavonoids; Polyamines"	3
"Alkaloids; Flavonoids; Simple phenolic acids"	3
"Alkaloids; Glycerophospholipids; Glycerophosphoethanolamines"	7
"Alkaloids; Guanidine alkaloids; Acyclic guanidine alkaloids"	19
"Alkaloids; Guanidine alkaloids; Aminoacids"	5
"Alkaloids; Guanidine alkaloids; Bicyclic guanidine alkaloids"	17
"Alkaloids; Guanidine alkaloids; Polyamines"	3
"Alkaloids; Guanidine alkaloids; Primary amides"	10
"Alkaloids; Guanidine alkaloids; pteridine alkaloids"	37
"Alkaloids; Guanidine alkaloids; Purine alkaloids"	94
"Alkaloids; Guanidine alkaloids; Pyridine alkaloids"	39
"Alkaloids; Guanidine alkaloids; Quinolizidine alkaloids"	16
"Alkaloids; Guanidine alkaloids; Saxitoxins"	3
"Alkaloids; Guanidine alkaloids; Simple amide alkaloids"	32
"Alkaloids; Guanidine alkaloids; Steroidal alkaloids"	35
"Alkaloids; Guanidine alkaloids; Tricyclic guanidine alkaloids"	87
"Alkaloids; Histidine alkaloids; Cephalosporins"	5
"Alkaloids; Histidine alkaloids; Imidazole alkaloids"	241
"Alkaloids; Histidine alkaloids; pteridine alkaloids"	2
"Alkaloids; Histidine alkaloids; Purine alkaloids"	8
"Alkaloids; Histidine alkaloids; Purine nucleostides"	30
"Alkaloids; Linear polyketides; Imidazole alkaloids"	12
"Alkaloids; Linear polyketides; Open-chain polyketides"	14
"Alkaloids; Linear polyketides; Pyrrole alkaloids"	2
"Alkaloids; Lysine alkaloids; Carbapenems"	26
"Alkaloids; Lysine alkaloids; Carboline alkaloids"	11
"Alkaloids; Lysine alkaloids; Corynanthe type"	13
