"frequency"
"Organic compounds"	38604
"Organic compounds; Alkaloids and derivatives"	130
"Organic compounds; Alkaloids and derivatives; Ergoline and derivatives"	9
"Organic compounds; Alkaloids and derivatives; Harmala alkaloids"	3
"Organic compounds; Alkaloids and derivatives; Lupin alkaloids"	20
"Organic compounds; Alkaloids and derivatives; Yohimbine alkaloids"	17
"Organic compounds; Benzenoids"	3165
"Organic compounds; Benzenoids; Anthracenes"	21
"Organic compounds; Benzenoids; Benzene and substituted derivatives"	2058
"Organic compounds; Benzenoids; Naphthalenes"	56
"Organic compounds; Benzenoids; Phenol ethers"	368
"Organic compounds; Benzenoids; Phenols"	218
"Organic compounds; Benzenoids; Thiophenol ethers"	27
"Organic compounds; Hydrocarbons"	122
"Organic compounds; Hydrocarbons; Saturated hydrocarbons"	6
"Organic compounds; Hydrocarbons; Unsaturated hydrocarbons"	87
"Organic compounds; Lignans, neolignans and related compounds"	77
"Organic compounds; Lignans, neolignans and related compounds; Aryltetralin lignans"	1
"Organic compounds; Lignans, neolignans and related compounds; Furanoid lignans"	3
"Organic compounds; Lignans, neolignans and related compounds; Lignan glycosides"	49
"Organic compounds; Lignans, neolignans and related compounds; Lignan lactones"	6
"Organic compounds; Lipids and lipid-like molecules"	5729
"Organic compounds; Lipids and lipid-like molecules; Fatty Acyls"	1696
"Organic compounds; Lipids and lipid-like molecules; Glycerolipids"	156
"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids"	253
"Organic compounds; Lipids and lipid-like molecules; Prenol lipids"	1256
"Organic compounds; Lipids and lipid-like molecules; Saccharolipids"	46
"Organic compounds; Lipids and lipid-like molecules; Sphingolipids"	97
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives"	1817
"Organic compounds; Nucleosides, nucleotides, and analogues"	720
"Organic compounds; Nucleosides, nucleotides, and analogues; 5-5-dinucleotides"	44
"Organic compounds; Nucleosides, nucleotides, and analogues; 5-deoxyribonucleosides"	17
"Organic compounds; Nucleosides, nucleotides, and analogues; Flavin nucleotides"	21
"Organic compounds; Nucleosides, nucleotides, and analogues; Imidazole ribonucleosides and ribonucleotides"	15
"Organic compounds; Nucleosides, nucleotides, and analogues; Purine nucleosides"	158
"Organic compounds; Nucleosides, nucleotides, and analogues; Purine nucleotides"	287
"Organic compounds; Nucleosides, nucleotides, and analogues; Pyrimidine nucleosides"	61
"Organic compounds; Nucleosides, nucleotides, and analogues; Pyrimidine nucleotides"	117
"Organic compounds; Organic 1,3-dipolar compounds"	252
"Organic compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds"	196
"Organic compounds; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds"	56
"Organic compounds; Organic acids and derivatives"	18240
"Organic compounds; Organic acids and derivatives; Borinic acid derivatives"	11
"Organic compounds; Organic acids and derivatives; Boronic acid derivatives"	161
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives"	16842
"Organic compounds; Organic acids and derivatives; Hydroxy acids and derivatives"	142
"Organic compounds; Organic acids and derivatives; Keto acids and derivatives"	82
"Organic compounds; Organic acids and derivatives; Organic carbonic acids and derivatives"	11
"Organic compounds; Organic acids and derivatives; Organic dithiophosphoric acids and derivatives"	38
"Organic compounds; Organic acids and derivatives; Organic phosphonic acids and derivatives"	28
"Organic compounds; Organic acids and derivatives; Organic phosphoric acids and derivatives"	75
"Organic compounds; Organic acids and derivatives; Organic sulfonic acids and derivatives"	52
"Organic compounds; Organic acids and derivatives; Organic sulfuric acids and derivatives"	148
"Organic compounds; Organic acids and derivatives; Organic thiosulfuric acids and derivatives"	28
"Organic compounds; Organic acids and derivatives; Orthocarboxylic acid derivatives"	3
"Organic compounds; Organic acids and derivatives; Peptidomimetics"	582
"Organic compounds; Organic acids and derivatives; Vinylogous amides"	37
"Organic compounds; Organic nitrogen compounds"	1492
"Organic compounds; Organic nitrogen compounds; Organonitrogen compounds"	1492
"Organic compounds; Organic oxygen compounds"	2488
"Organic compounds; Organic oxygen compounds; Organic oxoanionic compounds"	13
"Organic compounds; Organic oxygen compounds; Organooxygen compounds"	2475
"Organic compounds; Organohalogen compounds"	559
"Organic compounds; Organohalogen compounds; Alkyl halides"	130
"Organic compounds; Organohalogen compounds; Aryl halides"	383
"Organic compounds; Organohalogen compounds; Halohydrins"	46
"Organic compounds; Organoheterocyclic compounds"	3584
"Organic compounds; Organoheterocyclic compounds; Azacyclic compounds"	189
"Organic compounds; Organoheterocyclic compounds; Azobenzenes"	6
"Organic compounds; Organoheterocyclic compounds; Azoles"	513
"Organic compounds; Organoheterocyclic compounds; Azolines"	19
"Organic compounds; Organoheterocyclic compounds; Benzimidazoles"	9
"Organic compounds; Organoheterocyclic compounds; Benzodiazepines"	3
"Organic compounds; Organoheterocyclic compounds; Benzodioxanes"	3
"Organic compounds; Organoheterocyclic compounds; Benzodioxoles"	2
"Organic compounds; Organoheterocyclic compounds; Benzopyrans"	99
"Organic compounds; Organoheterocyclic compounds; Biotin and derivatives"	5
"Organic compounds; Organoheterocyclic compounds; Diazanaphthalenes"	89
"Organic compounds; Organoheterocyclic compounds; Diazinanes"	26
"Organic compounds; Organoheterocyclic compounds; Diazines"	304
"Organic compounds; Organoheterocyclic compounds; Dihydrofurans"	50
"Organic compounds; Organoheterocyclic compounds; Dioxaborolanes"	7
"Organic compounds; Organoheterocyclic compounds; Dithioles"	4
"Organic compounds; Organoheterocyclic compounds; Furans"	38
"Organic compounds; Organoheterocyclic compounds; Heteroaromatic compounds"	312
"Organic compounds; Organoheterocyclic compounds; Imidazopyrimidines"	215
"Organic compounds; Organoheterocyclic compounds; Imidolactams"	17
"Organic compounds; Organoheterocyclic compounds; Indoles and derivatives"	222
"Organic compounds; Organoheterocyclic compounds; Isoindoles and derivatives"	15
"Organic compounds; Organoheterocyclic compounds; Isoquinolines and derivatives"	2
"Organic compounds; Organoheterocyclic compounds; Lactams"	90
"Organic compounds; Organoheterocyclic compounds; Lactones"	58
"Organic compounds; Organoheterocyclic compounds; Naphthopyrans"	25
"Organic compounds; Organoheterocyclic compounds; Oxacyclic compounds"	19
"Organic compounds; Organoheterocyclic compounds; Oxanes"	5
"Organic compounds; Organoheterocyclic compounds; Oxazinanes"	5
"Organic compounds; Organoheterocyclic compounds; Piperidines"	71
"Organic compounds; Organoheterocyclic compounds; Pteridines and derivatives"	126
"Organic compounds; Organoheterocyclic compounds; Pyrans"	58
"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives"	168
"Organic compounds; Organoheterocyclic compounds; Pyrroles"	3
"Organic compounds; Organoheterocyclic compounds; Pyrrolidines"	49
"Organic compounds; Organoheterocyclic compounds; Quinolidines"	7
"Organic compounds; Organoheterocyclic compounds; Quinolines and derivatives"	52
"Organic compounds; Organoheterocyclic compounds; Quinolizidines"	4
"Organic compounds; Organoheterocyclic compounds; Quinuclidines"	27
"Organic compounds; Organoheterocyclic compounds; Tetrahydrofurans"	28
"Organic compounds; Organoheterocyclic compounds; Tetrapyrroles and derivatives"	132
"Organic compounds; Organoheterocyclic compounds; Thiazepines"	21
"Organic compounds; Organoheterocyclic compounds; Thiazines"	50
"Organic compounds; Organoheterocyclic compounds; Thienodiazepines"	4
"Organic compounds; Organoheterocyclic compounds; Thiophenes"	95
"Organic compounds; Organoheterocyclic compounds; Triazinanes"	35
"Organic compounds; Organoheterocyclic compounds; Triazines"	272
"Organic compounds; Organophosphorus compounds"	84
"Organic compounds; Organophosphorus compounds; Organic phosphines and derivatives"	11
"Organic compounds; Organophosphorus compounds; Organothiophosphorus compounds"	38
"Organic compounds; Organosulfur compounds"	348
"Organic compounds; Organosulfur compounds; Isothiocyanates"	1
"Organic compounds; Organosulfur compounds; Organic disulfides"	58
"Organic compounds; Organosulfur compounds; Sulfenyl compounds"	19
"Organic compounds; Organosulfur compounds; Sulfonyls"	44
"Organic compounds; Organosulfur compounds; Sulfoxides"	2
"Organic compounds; Organosulfur compounds; Thioethers"	147
"Organic compounds; Organosulfur compounds; Thiols"	77
"Organic compounds; Phenylpropanoids and polyketides"	1614
"Organic compounds; Phenylpropanoids and polyketides; 2-arylbenzofuran flavonoids"	5
"Organic compounds; Phenylpropanoids and polyketides; Angucyclines"	11
"Organic compounds; Phenylpropanoids and polyketides; Cinnamic acids and derivatives"	136
"Organic compounds; Phenylpropanoids and polyketides; Coumarins and derivatives"	135
"Organic compounds; Phenylpropanoids and polyketides; Diarylheptanoids"	44
"Organic compounds; Phenylpropanoids and polyketides; Flavonoids"	962
"Organic compounds; Phenylpropanoids and polyketides; Isoflavonoids"	78
"Organic compounds; Phenylpropanoids and polyketides; Linear 1,3-diarylpropanoids"	48
"Organic compounds; Phenylpropanoids and polyketides; Macrolactams"	12
"Organic compounds; Phenylpropanoids and polyketides; Macrolides and analogues"	74
"Organic compounds; Phenylpropanoids and polyketides; Saxitoxins, gonyautoxins, and derivatives"	3
"Organic compounds; Phenylpropanoids and polyketides; Stilbenes"	35
"Organic compounds; Phenylpropanoids and polyketides; Tannins"	63
"Organic compounds; Phenylpropanoids and polyketides; Tetracyclines"	8
