"frequency"
"Organic compounds"	38604
"Organic compounds; Alkaloids and derivatives"	130
"Organic compounds; Benzenoids"	3165
"Organic compounds; Hydrocarbons"	122
"Organic compounds; Lignans, neolignans and related compounds"	77
"Organic compounds; Lipids and lipid-like molecules"	5729
"Organic compounds; Nucleosides, nucleotides, and analogues"	720
"Organic compounds; Organic 1,3-dipolar compounds"	252
"Organic compounds; Organic acids and derivatives"	18240
"Organic compounds; Organic nitrogen compounds"	1492
"Organic compounds; Organic oxygen compounds"	2488
"Organic compounds; Organohalogen compounds"	559
"Organic compounds; Organoheterocyclic compounds"	3584
"Organic compounds; Organophosphorus compounds"	84
"Organic compounds; Organosulfur compounds"	348
"Organic compounds; Phenylpropanoids and polyketides"	1614
