"Organic compounds"	"Alkaloids and derivatives"	"Benzenoids"	"Lipids and lipid-like molecules"	"Nucleosides, nucleotides, and analogues"	"Organic 1,3-dipolar compounds"	"Organic acids and derivatives"	"Organic nitrogen compounds"	"Organic oxygen compounds"	"Organohalogen compounds"	"Organoheterocyclic compounds"	"Organosulfur compounds"	"Phenylpropanoids and polyketides"	"Yohimbine alkaloids"	"Benzene and substituted derivatives"	"Naphthalenes"	"Phenol ethers"	"Phenols"	"Thiophenol ethers"	"Fatty Acyls"	"Glycerolipids"	"Glycerophospholipids"	"Prenol lipids"	"Sphingolipids"	"Steroids and steroid derivatives"	"5-5-dinucleotides"	"5-deoxyribonucleosides"	"Flavin nucleotides"	"Purine nucleosides"	"Purine nucleotides"	"Pyrimidine nucleosides"	"Pyrimidine nucleotides"	"Allyl-type 1,3-dipolar organic compounds"	"Boronic acid derivatives"	"Carboxylic acids and derivatives"	"Hydroxy acids and derivatives"	"Keto acids and derivatives"	"Organic dithiophosphoric acids and derivatives"	"Organic phosphoric acids and derivatives"	"Organic sulfonic acids and derivatives"	"Organic sulfuric acids and derivatives"	"Peptidomimetics"	"Organonitrogen compounds"	"Organooxygen compounds"	"Alkyl halides"	"Aryl halides"	"Halohydrins"	"Azacyclic compounds"	"Azoles"	"Azolines"	"Benzopyrans"	"Diazanaphthalenes"	"Diazines"	"Dihydrofurans"	"Furans"	"Heteroaromatic compounds"	"Imidazopyrimidines"	"Indoles and derivatives"	"Isoindoles and derivatives"	"Lactams"	"Lactones"	"Naphthopyrans"	"Pteridines and derivatives"	"Pyrans"	"Pyridines and derivatives"	"Quinolines and derivatives"	"Tetrapyrroles and derivatives"	"Thiazines"	"Thiophenes"	"Triazines"	"Organic disulfides"	"Sulfonyls"	"Thioethers"	"Thiols"	"Cinnamic acids and derivatives"	"Coumarins and derivatives"	"Flavonoids"	"Isoflavonoids"	"Macrolides and analogues"	"Stilbenes"	"Tetracyclines"	"Hydrocarbons"	"Organophosphorus compounds"	"Lupin alkaloids"	"Saturated hydrocarbons"	"Unsaturated hydrocarbons"	"Propargyl-type 1,3-dipolar organic compounds"	"Borinic acid derivatives"	"Organic carbonic acids and derivatives"	"Organic phosphonic acids and derivatives"	"Organic thiosulfuric acids and derivatives"	"Orthocarboxylic acid derivatives"	"Vinylogous amides"	"Benzodioxoles"	"Biotin and derivatives"	"Dioxaborolanes"	"Dithioles"	"Imidolactams"	"Oxacyclic compounds"	"Oxanes"	"Oxazinanes"	"Piperidines"	"Pyrroles"	"Pyrrolidines"	"Quinolidines"	"Quinolizidines"	"Quinuclidines"	"Thiazepines"	"Triazinanes"	"Organic phosphines and derivatives"	"Organothiophosphorus compounds"	"Isothiocyanates"	"Sulfenyl compounds"	"Sulfoxides"	"Macrolactams"	"Lignans, neolignans and related compounds"	"Ergoline and derivatives"	"Harmala alkaloids"	"Anthracenes"	"Aryltetralin lignans"	"Furanoid lignans"	"Lignan glycosides"	"Lignan lactones"	"Saccharolipids"	"Imidazole ribonucleosides and ribonucleotides"	"Organic oxoanionic compounds"	"Azobenzenes"	"Benzimidazoles"	"Benzodiazepines"	"Benzodioxanes"	"Diazinanes"	"Isoquinolines and derivatives"	"Tetrahydrofurans"	"Thienodiazepines"	"2-arylbenzofuran flavonoids"	"Angucyclines"	"Diarylheptanoids"	"Linear 1,3-diarylpropanoids"	"Saxitoxins, gonyautoxins, and derivatives"	"Tannins"
"R.cavernosa.SWE.1"	551	5	55	80	17	2	241	16	42	10	38	9	35	1	41	0	6	4	0	27	3	4	21	1	19	0	1	0	8	5	1	2	1	1	217	1	0	2	4	0	3	11	16	42	2	8	0	1	6	0	1	2	4	0	0	5	2	1	0	2	0	0	2	2	1	1	2	0	1	1	1	1	6	1	2	3	13	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	11
"R.cavernosa.SWE.2"	485	2	62	48	16	3	180	17	48	9	45	8	41	0	42	1	4	4	2	16	0	3	10	0	16	1	1	0	7	5	1	1	3	3	165	2	1	1	2	2	1	1	17	48	0	9	0	2	5	1	1	0	5	1	1	2	6	2	0	1	1	0	1	1	3	1	1	1	3	0	1	0	5	1	1	3	16	4	2	0	0	2	2	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	12
"R.cavernosa.SWE.3"	604	3	58	93	13	5	254	13	45	13	53	9	40	0	34	1	6	4	0	25	1	4	21	2	31	0	1	0	6	4	1	1	4	3	239	1	1	1	3	1	2	2	13	45	4	9	0	2	12	1	1	0	2	1	1	4	4	3	0	2	1	0	3	1	3	2	3	1	1	1	1	0	6	1	3	3	15	4	1	1	0	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	11
"R.canaliculata.GOT.1"	887	3	87	141	25	4	372	27	71	19	79	8	44	0	55	1	10	5	1	42	4	6	34	4	39	3	0	1	4	10	3	4	4	3	347	2	2	1	1	1	2	10	27	71	4	12	3	3	13	0	5	2	4	4	1	4	5	5	0	1	0	3	6	2	4	2	3	1	1	3	1	2	4	1	3	3	30	3	2	1	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0
"R.canaliculata.GOT.2"	930	3	88	148	29	5	401	25	72	14	80	8	46	0	56	1	10	6	1	44	4	7	37	3	40	3	0	1	5	12	4	4	5	4	378	2	1	1	2	1	1	9	25	71	3	10	1	2	13	0	5	2	5	4	1	3	4	5	0	1	1	4	6	2	4	1	3	1	2	4	1	2	3	2	4	3	30	3	3	1	0	4	2	0	0	3	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	0	1	0	0	3	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0
"R.canaliculata.GOT.3"	915	2	78	144	29	6	393	29	73	15	88	7	44	0	47	1	10	4	1	39	3	6	36	4	41	3	0	1	4	13	3	5	6	3	368	2	1	1	2	1	2	9	29	72	4	10	1	4	15	0	5	3	6	4	0	5	5	5	0	2	1	4	6	2	4	1	3	1	0	4	1	1	4	1	3	3	29	3	3	1	0	1	2	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	4	0	0	1	0	0	3	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0
"R.bifurca.GOT.1"	940	2	58	151	15	4	484	35	48	14	88	3	30	0	37	1	7	4	0	42	5	7	36	0	49	0	0	1	4	5	2	2	3	4	449	4	1	0	2	1	4	17	35	48	4	9	1	4	8	0	2	3	7	1	2	9	5	5	1	4	2	0	2	1	3	1	2	1	3	9	1	1	0	1	2	3	19	2	1	1	0	4	3	0	0	3	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	3	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1
"R.bifurca.GOT.2"	1060	3	73	174	19	7	537	37	49	13	103	5	31	0	44	3	9	4	0	49	6	7	34	4	60	0	0	1	4	8	2	3	6	4	498	4	1	1	2	1	3	19	37	49	3	8	2	6	9	1	2	3	10	1	2	10	7	3	1	4	3	1	2	1	5	2	2	1	2	11	1	0	2	2	3	2	19	2	2	1	0	4	3	0	0	3	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	3	0	2	0	0	1	1	1	1	1	0	0	0	0	2	1	0	0	0	0	2	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1
"R.bifurca.GOT.3"	1000	3	68	157	18	4	508	37	51	15	96	5	31	0	38	2	11	6	0	41	5	6	32	3	56	1	0	1	4	6	2	3	3	4	468	5	1	1	2	1	4	20	37	51	3	10	2	6	9	0	2	3	7	0	2	8	7	4	1	3	3	1	2	1	5	3	2	1	3	10	1	0	2	2	2	2	20	2	2	1	0	3	3	1	0	2	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	3	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1
"R.ciliifera.GOT.1"	893	3	71	140	9	5	454	32	49	11	75	6	33	0	40	2	10	4	0	38	4	8	26	3	51	0	1	0	3	2	0	3	5	3	423	4	2	1	1	2	4	13	32	49	4	6	1	4	11	0	2	1	4	1	0	5	4	6	1	2	1	0	4	1	3	3	3	1	1	7	1	2	1	2	1	3	22	2	1	0	0	3	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	3	1	0	0
"R.ciliifera.GOT.2"	954	2	67	158	6	6	485	32	54	12	84	7	35	0	41	1	9	4	0	44	4	6	35	4	53	0	1	0	2	1	0	2	6	3	456	4	2	0	1	2	2	13	32	53	2	10	0	5	11	0	1	1	5	1	1	4	5	8	1	3	1	0	4	1	2	3	2	2	3	9	1	2	1	3	2	3	24	2	1	0	0	4	2	0	0	3	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	2	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0
"R.ciliifera.GOT.3"	895	3	68	131	9	5	468	32	52	8	77	6	31	0	40	1	11	3	0	32	1	7	28	3	47	0	1	0	3	2	0	3	5	3	438	3	1	0	2	2	2	15	32	52	2	6	0	5	13	0	1	1	4	1	1	4	2	7	0	3	1	0	4	1	2	2	3	2	1	10	1	2	2	1	2	4	19	1	1	0	0	3	2	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	3	1	0	0
"R.subbifurca.OE1.1"	914	3	71	122	24	8	429	39	55	16	93	10	35	1	47	0	7	7	0	34	2	9	29	0	41	3	1	1	5	9	1	3	7	5	398	2	2	0	3	1	3	13	39	55	3	12	1	5	13	0	3	3	6	1	1	6	8	6	0	1	1	0	2	2	5	1	4	2	1	9	2	2	3	3	1	4	22	3	1	1	0	5	3	0	0	4	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	5	0	2	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2
"R.subbifurca.OE1.2"	981	2	77	138	22	7	460	40	67	15	100	8	40	1	52	2	8	6	0	43	2	7	31	1	44	2	1	1	4	10	1	2	6	3	430	2	2	2	3	1	2	13	40	67	3	11	1	7	12	1	4	3	6	1	2	9	9	5	0	1	1	0	2	2	3	1	4	1	3	8	2	1	3	2	3	4	26	3	1	0	0	3	2	0	0	2	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	5	0	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2
"R.subbifurca.OE1.3"	1040	4	82	146	24	8	481	44	64	15	118	8	38	1	54	1	11	7	0	45	2	8	31	0	47	2	1	1	5	9	1	4	7	6	449	3	4	1	2	2	2	10	44	64	4	10	1	7	12	1	2	3	10	2	3	9	8	8	0	3	3	0	3	2	5	2	4	2	4	8	2	2	2	2	2	4	25	3	1	0	0	4	3	0	0	3	1	0	0	0	1	0	1	0	0	0	0	1	2	1	0	6	0	2	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	2
"R.sorocarpa.SWE.1"	695	4	62	122	11	3	319	20	51	14	53	6	26	0	37	0	9	4	2	40	3	4	25	1	37	0	0	0	5	4	0	2	2	4	293	3	3	1	1	1	3	7	20	51	4	9	1	4	10	0	1	0	6	2	0	4	1	2	0	0	1	0	1	1	3	0	2	2	2	3	1	0	3	2	3	2	15	1	1	0	0	0	3	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	2
"R.sorocarpa.SWE.2"	779	3	58	136	13	3	371	23	51	13	65	5	30	0	34	1	6	5	1	40	3	5	30	1	44	1	0	1	5	5	0	1	2	4	344	3	2	0	2	2	3	9	23	51	4	7	2	4	11	0	2	1	4	2	0	7	3	3	0	1	1	0	1	1	5	1	3	1	3	3	1	0	2	2	4	3	15	2	3	0	0	3	2	1	0	2	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	3	1	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1
"R.sorocarpa.SWE.3"	802	4	63	132	13	3	389	28	53	10	67	4	29	0	37	0	7	6	1	38	1	5	30	2	45	1	0	1	3	6	0	2	2	5	359	5	2	1	2	1	4	8	28	53	3	5	2	5	12	0	3	1	5	2	1	7	1	3	0	0	1	0	2	1	4	1	2	1	4	4	1	0	1	2	4	3	15	2	2	0	0	2	2	1	0	2	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1
"R.beyrichiana.OEL.1"	887	1	76	131	14	7	421	36	46	17	92	4	33	0	51	1	8	7	0	37	2	5	29	1	46	1	0	1	4	5	1	2	5	5	390	3	3	0	2	1	4	11	36	46	5	9	3	6	11	0	3	1	6	0	1	10	7	6	1	1	1	1	2	1	6	1	3	2	4	10	1	0	1	2	2	2	23	2	1	1	0	6	2	0	0	5	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
"R.beyrichiana.OEL.2"	794	1	62	115	14	6	375	36	46	16	80	6	30	0	42	1	5	4	0	35	2	6	23	1	39	1	0	1	4	6	1	1	4	5	343	2	3	0	1	3	3	12	36	46	4	9	3	5	12	0	3	1	6	1	0	7	9	3	1	1	1	1	2	1	4	0	2	2	4	4	1	1	2	2	2	2	20	2	1	1	0	4	2	0	0	3	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1
