"Organic compounds"	"Alkaloids and derivatives"	"Benzenoids"	"Lipids and lipid-like molecules"	"Nucleosides, nucleotides, and analogues"	"Organic 1,3-dipolar compounds"	"Organic acids and derivatives"	"Organic nitrogen compounds"	"Organic oxygen compounds"	"Organohalogen compounds"	"Organoheterocyclic compounds"	"Organosulfur compounds"	"Phenylpropanoids and polyketides"	"Hydrocarbons"	"Organophosphorus compounds"	"Lignans, neolignans and related compounds"
"R.cavernosa.SWE.1"	551	5	55	80	17	2	241	16	42	10	38	9	35	0	0	1
"R.cavernosa.SWE.2"	485	2	62	48	16	3	180	17	48	9	45	8	41	2	2	2
"R.cavernosa.SWE.3"	604	3	58	93	13	5	254	13	45	13	53	9	40	1	3	1
"R.canaliculata.GOT.1"	887	3	87	141	25	4	372	27	71	19	79	8	44	0	3	4
"R.canaliculata.GOT.2"	930	3	88	148	29	5	401	25	72	14	80	8	46	4	2	5
"R.canaliculata.GOT.3"	915	2	78	144	29	6	393	29	73	15	88	7	44	1	2	4
"R.bifurca.GOT.1"	940	2	58	151	15	4	484	35	48	14	88	3	30	4	3	1
"R.bifurca.GOT.2"	1060	3	73	174	19	7	537	37	49	13	103	5	31	4	3	2
"R.bifurca.GOT.3"	1000	3	68	157	18	4	508	37	51	15	96	5	31	3	3	1
"R.ciliifera.GOT.1"	893	3	71	140	9	5	454	32	49	11	75	6	33	3	2	0
"R.ciliifera.GOT.2"	954	2	67	158	6	6	485	32	54	12	84	7	35	4	2	0
"R.ciliifera.GOT.3"	895	3	68	131	9	5	468	32	52	8	77	6	31	3	2	0
"R.subbifurca.OE1.1"	914	3	71	122	24	8	429	39	55	16	93	10	35	5	3	1
"R.subbifurca.OE1.2"	981	2	77	138	22	7	460	40	67	15	100	8	40	3	2	0
"R.subbifurca.OE1.3"	1040	4	82	146	24	8	481	44	64	15	118	8	38	4	3	1
"R.sorocarpa.SWE.1"	695	4	62	122	11	3	319	20	51	14	53	6	26	0	3	1
"R.sorocarpa.SWE.2"	779	3	58	136	13	3	371	23	51	13	65	5	30	3	2	3
"R.sorocarpa.SWE.3"	802	4	63	132	13	3	389	28	53	10	67	4	29	2	2	3
"R.beyrichiana.OEL.1"	887	1	76	131	14	7	421	36	46	17	92	4	33	6	2	1
"R.beyrichiana.OEL.2"	794	1	62	115	14	6	375	36	46	16	80	6	30	4	2	1
"R.beyrichiana.OEL.3"	828	1	75	112	15	6	397	33	46	15	84	5	31	5	2	1
"R.subbifurca.OE2.1"	870	3	64	108	23	8	406	37	53	17	93	10	39	4	2	3
"R.subbifurca.OE2.2"	894	4	54	115	18	9	429	37	56	10	116	7	31	4	2	2
"R.subbifurca.OE2.3"	1071	3	72	163	25	9	514	40	63	17	106	9	41	5	3	1
"R.ciliifera.HAL.1"	899	4	63	139	9	4	472	33	57	11	70	5	24	3	3	2
"R.ciliifera.HAL.2"	1058	4	76	161	10	5	547	37	63	12	101	7	28	4	2	1
"R.ciliifera.HAL.3"	991	5	74	148	8	6	508	36	65	11	92	5	28	3	2	0
"R.gougetiana.HAL.1"	1201	2	98	177	19	4	598	44	79	11	104	9	49	3	2	2
"R.gougetiana.HAL.2"	1243	4	104	172	13	6	635	45	78	10	114	9	46	3	2	2
"R.gougetiana.HAL.3"	1117	1	101	156	13	5	568	43	65	10	95	9	45	3	2	1
"R.huebeneriana.GOT.1"	603	2	57	84	14	4	259	27	52	11	52	5	32	2	2	0
"R.huebeneriana.GOT.2"	515	2	48	74	10	3	218	22	42	10	47	6	29	2	2	0
"R.huebeneriana.GOT.3"	511	2	54	78	9	3	219	22	39	11	42	4	25	1	2	0
"A.gracilis.SWE.1"	621	3	56	87	19	7	273	26	36	8	61	9	33	1	0	2
"A.gracilis.SWE.2"	689	3	67	93	19	6	300	37	50	8	57	11	34	1	0	3
"A.gracilis.SWE.3"	418	2	30	58	14	5	182	25	23	6	42	6	24	1	0	0
"R.gothica.GOT.1"	1152	2	94	164	16	8	596	36	58	13	115	7	34	5	2	2
"R.gothica.GOT.2"	1010	1	78	161	13	6	512	35	52	14	97	6	28	3	2	2
"R.gothica.GOT.3"	1049	1	79	169	13	6	538	35	54	12	99	6	28	5	2	2
"M.fragrans.GOT.1"	422	0	38	56	6	3	173	23	43	8	39	6	24	1	1	1
"M.fragrans.GOT.2"	433	2	42	55	8	4	187	18	36	10	37	7	23	2	1	1
"M.fragrans.GOT.3"	443	3	44	57	7	4	192	21	40	9	36	8	20	0	1	1
"R.hemisphaerica.GOT.1"	630	3	54	93	12	7	255	34	42	9	64	10	44	1	1	1
"R.hemisphaerica.GOT.2"	683	3	58	93	13	6	286	41	45	9	68	11	45	2	0	3
"R.hemisphaerica.GOT.3"	700	3	55	105	14	7	288	37	42	8	73	13	50	2	0	3
"A.hyalina.GOT.1"	538	5	49	83	14	3	236	20	44	7	37	8	29	0	0	3
"A.hyalina.GOT.2"	526	3	50	85	14	4	224	27	38	7	35	10	26	0	0	3
"A.hyalina.GOT.3"	483	3	47	76	12	3	206	23	40	6	34	8	22	0	0	3
