"category"	"size"	"lstrat"	"lstrat_e"	"lform"	"genl"	"sex"	"smind"	"smeand"	"smaxd"	"sfreq"	"sseas"	"indL"	"indT"	"indK"	"indF"	"indR"	"indN"	"biome"	"eastlim"	"lim_low"	"lim_up"	"lim_range"	"EOO_est"	"AOO_est"	"hab_sum"	"forest"	"hemeroby"	"hem_e"	"nc"	"MAT"	"T_diurR"	"T_iso"	"T_seas"	"Tmax_warmM"	"Tmin_coldM"	"T_annualR"	"T_wetQ"	"T_dryQ"	"T_warmQ"	"T_coldQ"	"MAP"	"P_wetM"	"P_dryM"	"P_seas"	"P_wetQ"	"P_dryQ"	"P_warmQ"	"P_coldQ"	"gdd0"	"gdd5"	"gdd10"	"ngd0"	"ngd5"	"ngd10"
"R.cavernosa.SWE.1.autoMSMS.pos_P1.B.4_1_7061"	1	30	1	1	3	3.3	3	60	60	94	3	2	4	6	4	6	5	5	7	6	0	1400	1400	9178371	1248	4	0	0	0	1175762	8.65	6.6	27.9	6.3	21.25	-1.95	24	15.05	4.55	16.25	1.05	801.4	85.6	42.8	20.5	240.6	150.5	227.5	186.5	3171.7	1708.8	719.9	365	232	161
"R.cavernosa.SWE.2.autoMSMS.pos_P1.B.5_1_7119"	1	30	1	1	3	3.3	3	60	60	94	3	2	4	6	4	6	5	5	7	6	0	1400	1400	9178371	1248	4	0	0	0	1175762	8.65	6.6	27.9	6.3	21.25	-1.95	24	15.05	4.55	16.25	1.05	801.4	85.6	42.8	20.5	240.6	150.5	227.5	186.5	3171.7	1708.8	719.9	365	232	161
"R.cavernosa.SWE.3.autoMSMS.pos_P1.B.6_1_7120"	1	30	1	1	3	3.3	3	60	60	94	3	2	4	6	4	6	5	5	7	6	0	1400	1400	9178371	1248	4	0	0	0	1175762	8.65	6.6	27.9	6.3	21.25	-1.95	24	15.05	4.55	16.25	1.05	801.4	85.6	42.8	20.5	240.6	150.5	227.5	186.5	3171.7	1708.8	719.9	365	232	161
"R.canaliculata.GOT.1.autoMSMS.pos_P1.C.7_1_7130"	1	20	1	1	3	3.3	3	75	75	95	3	4	3	5	4	6	3	3	7	3	0	600	600	9665833	1200	2	0	0	0	1155120	8.55	6.6	27.7	6.31	21.25	-1.95	24.1	15.15	4.45	16.25	0.95	797.9	85.5	42.8	20.4	239.9	150.4	228.7	185.2	3153.8	1691.5	708.9	365	231	160
"R.canaliculata.GOT.2.autoMSMS.pos_P1.C.8_1_7131"	1	20	1	1	3	3.3	3	75	75	95	3	4	3	5	4	6	3	3	7	3	0	600	600	9665833	1200	2	0	0	0	1155120	8.55	6.6	27.7	6.31	21.25	-1.95	24.1	15.15	4.45	16.25	0.95	797.9	85.5	42.8	20.4	239.9	150.4	228.7	185.2	3153.8	1691.5	708.9	365	231	160
"R.canaliculata.GOT.3.autoMSMS.pos_P1.C.9_1_7132"	1	20	1	1	3	3.3	3	75	75	95	3	4	3	5	4	6	3	3	7	3	0	600	600	9665833	1200	2	0	0	0	1155120	8.55	6.6	27.7	6.31	21.25	-1.95	24.1	15.15	4.45	16.25	0.95	797.9	85.5	42.8	20.4	239.9	150.4	228.7	185.2	3153.8	1691.5	708.9	365	231	160
"R.bifurca.GOT.1.autoMSMS.pos_P1.E.4_1_7145"	1	10	1	1	2	3.3	3	70	85	100	3	4	4	4	5	4	4	6	8	3	0	1400	1400	14603059	808	5	0	0	0	174952	10.05	7	31	5.9	22.55	-0.15	24	12.05	6.15	17.65	2.95	848.5	103.1	36.7	27.9	276.7	134.8	210.8	215.2	3693.85	2105.1	976.8	365	263	182
"R.bifurca.GOT.2.autoMSMS.pos_P1.E.5_1_7146"	1	10	1	1	2	3.3	3	70	85	100	3	4	4	4	5	4	4	6	8	3	0	1400	1400	14603059	808	5	0	0	0	174952	10.05	7	31	5.9	22.55	-0.15	24	12.05	6.15	17.65	2.95	848.5	103.1	36.7	27.9	276.7	134.8	210.8	215.2	3693.85	2105.1	976.8	365	263	182
"R.bifurca.GOT.3.autoMSMS.pos_P1.E.6_1_7147"	1	10	1	1	2	3.3	3	70	85	100	3	4	4	4	5	4	4	6	8	3	0	1400	1400	14603059	808	5	0	0	0	174952	10.05	7	31	5.9	22.55	-0.15	24	12.05	6.15	17.65	2.95	848.5	103.1	36.7	27.9	276.7	134.8	210.8	215.2	3693.85	2105.1	976.8	365	263	182
"R.ciliifera.GOT.1.autoMSMS.pos_P1.D.1_1_7133"	1	11	1	1	1	3.3	2	80	115	150	0	0	4	6	6	2	4	2	0	0	0	2600	2600	7186607	512	4	0	0	0	322164	12.55	9.3	36	5.86	26.35	0.85	26	12.95	18.95	20.35	5.65	764.8	112.1	23.8	43	301.9	92.3	119.5	231.9	4585.6	2835.4	1507	365	345	212
