"Corynanthean-type alkaloids"	"Ergopeptines"	"Cytisine and derivatives"	"Benzenoids"	"Anthracenes"	"Anthraquinones"	"Benzene and substituted derivatives"	"Anilides"	"Aromatic anilides"	"Benzenesulfonamides"	"Aminobenzenesulfonamides"	"Benzenesulfonic acids and derivatives"	"Benzenesulfonyl compounds"	"Benzoic acids and derivatives"	"Acylaminobenzoic acid and derivatives"	"Benzamides"	"Benzoic acid esters"	"Benzoic acids"	"Hydroxybenzoic acid derivatives"	"Methoxybenzoic acids and derivatives"	"Benzoyl derivatives"	"Benzyl alcohols"	"Biphenyls and derivatives"	"Chlorobenzenes"	"Fluorobenzenes"	"N-phenylureas"	"Nitrobenzenes"	"Phenoxy compounds"	"Trifluoromethylbenzenes"	"Naphthalenes"	"Naphthalene sulfonamides"	"Naphthols and derivatives"	"Phenol ethers"	"Anisoles"	"Phenols"	"1-hydroxy-2-unsubstituted benzenoids"	"Benzenediols"	"Catechols"	"Phloroglucinols and derivatives"	"Pyrogallols and derivatives"	"Iodophenols"	"Lignans, neolignans and related compounds"	"Furofuran lignans"	"Tetrahydrofuran lignans"	"Lignan glycosides"	"Lignan lactones"	"Lipids and lipid-like molecules"	"Fatty Acyls"	"Leukotrienes"	"Prostaglandins and related compounds"	"Acyl carnitines"	"Fatty acids and conjugates"	"Branched fatty acids"	"Long-chain fatty acids"	"Thia fatty acids"	"Fatty acyl glycosides"	"Alkyl glycosides"	"Fatty acyl glycosides of mono- and disaccharides"	"Sophorolipids"	"Fatty alcohols"	"N-acyl amines"	"Lineolic acids and derivatives"	"Monoacylglycerophosphates"	"Lysophosphatidylglycerols"	"Lysophosphatidylinositols"	"Phosphatidylinositols"	"Prenol lipids"	"Diterpenoids"	"Trichothecenes"	"Terpene glycosides"	"Diterpene glycosides"	"Iridoid O-glycosides"	"Triterpenoids"	"Limonoids"	"Saccharolipids"	"Steroids and steroid derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Taurinated bile acids and derivatives"	"3-hydroxysteroids"	"Gluco/mineralocorticoids, progestogins and derivatives"	"Steroid esters"	"Steroid lactones"	"Cardenolides and derivatives"	"Steroidal glycosides"	"Steroidal saponins"	"5-5-dinucleotides"	"5-deoxy-5-thionucleosides"	"Purine nucleosides"	"Purine nucleotides"	"3,5-cyclic purine nucleotides"	"Purine nucleotide sugars"	"Purine ribonucleoside diphosphates"	"Purine ribonucleoside monophosphates"	"Pyrimidine nucleosides"	"Pyrimidine nucleotides"	"Pyrimidine deoxyribonucleotides"	"Pyrimidine ribonucleotides"	"C-nitro compounds"	"Carboxylic acids and derivatives"	"Amino acids, peptides, and analogues"	"Amino acids and derivatives"	"Peptides"	"Carboxylic acid amides"	"Carboxylic acids"	"Dicarboxylic acids and derivatives"	"Tricarboxylic acids and derivatives"	"Beta hydroxy acids and derivatives"	"Medium-chain hydroxy acids and derivatives"	"Medium-chain keto acids and derivatives"	"Organic phosphonic acids"	"Organic phosphoramides"	"Alkyl phosphates"	"Organosulfonic acids and derivatives"	"Arylsulfonic acids and derivatives"	"Organosulfonamides"	"Sulfuric acid monoesters"	"Cyclic depsipeptides"	"Hybrid peptides"	"Amines"	"Aralkylamines"	"Tertiary amines"	"Tetraalkylammonium salts"	"Cyclic alcohols and derivatives"	"Secondary alcohols"	"Aminosaccharides"	"Disaccharides"	"Glycosyl compounds"	"Monosaccharides"	"Oligosaccharides"	"Sugar acids and derivatives"	"Ketones"	"Acetals"	"Alkyl aryl ethers"	"Diarylethers"	"Aryl chlorides"	"Azaphilones"	"Phenyl-1,3-oxazoles"	"Phenylpyrazoles"	"Benzimidazoles"	"Benzodiazepines"	"Benzodioxoles"	"Benzopyrans"	"1-benzopyrans"	"2,2-dimethyl-1-benzopyrans"	"Chromones"	"Phenothiazines"	"1-benzothiophenes"	"Biotin and derivatives"	"Quinoxalines"	"N-alkylpiperazines"	"N-arylpiperazines"	"Aminopyrimidines and derivatives"	"Phenylpyrimidines"	"Pyridinylpyrimidines"	"Pyrimidones"	"Thiamines"	"Dioxepanes"	"Lipoamides"	"Imidazopyrimidines"	"Purines and purine derivatives"	"6-aminopurines"	"Purinones"	"Xanthines"	"Indoles"	"3-alkylindoles"	"N-alkylindoles"	"Beta carbolines"	"Isoindolones"	"Isoquinolines and derivatives"	"Naphthopyrans"	"Oxanes"	"Oxepanes"	"Pteridines and derivatives"	"Alloxazines and isoalloxazines"	"Pyridinones"	"Pyridinecarboxylic acids and derivatives"	"Pyridinecarboxylic acids"	"Phenylpyrroles"	"Quinolines and derivatives"	"4-aminoquinolines"	"Quinoline carboxylic acids"	"Tetrahydroisoquinolines"	"Tetrapyrroles and derivatives"	"Thienopyrimidines"	"Aryl thioethers"	"Alkylarylthioethers"	"Diarylthioethers"	"2-arylbenzofuran flavonoids"	"Anthracyclines"	"Cinnamic acids and derivatives"	"Cinnamic acid esters"	"Coumaric acids and derivatives"	"Hydroxycinnamic acid esters"	"Coumarins and derivatives"	"Coumarin glycosides"	"Hydroxycoumarins"	"Depsides and depsidones"	"Diarylheptanoids"	"Linear diarylheptanoids"	"Flavonoids"	"Biflavonoids and polyflavonoids"	"Flavan-3-ols"	"Flavones"	"Flavonoid glycosides"	"Flavonoid C-glycosides"	"Flavonoid O-glycosides"	"3-hydroxyflavonoids"	"4-hydroxyflavonoids"	"5-hydroxyflavonoids"	"Isoflavonoid O-glycosides"	"Retrochalcones"	"Macrolactams"	"Hydrolyzable tannins"	"Tetracyclines"
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int1_GD5_1_12060"	6	1	0	6	1	1	13	1	3	11	4	3	5	6	1	0	1	0	4	1	5	1	1	3	4	2	4	1	4	8	1	4	10	5	2	6	1	0	1	0	0	10	1	1	11	0	4	2	0	1	0	1	1	2	0	0	1	3	1	0	1	3	2	1	1	0	1	4	1	33	1	4	5	11	2	0	3	0	1	1	2	0	7	0	0	2	3	5	7	1	0	2	0	0	1	0	0	3	2	0	282	66	1	1	1	10	2	1	1	1	1	1	0	1	1	3	1	0	0	2	5	2	13	1	10	8	59	10	2	5	4	0	1	6	1	3	2	1	4	1	1	0	4	0	2	5	1	2	1	1	3	0	0	0	5	2	0	0	0	3	1	2	5	4	3	0	7	2	2	8	0	6	2	0	1	2	1	3	2	1	1	1	0	3	0	0	0	3	0	0	0	10	5	0	2	1	0	2	1	0	1	1	2	7	1	44	1	2	0	5	2	1	1	0
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int2_GA4_1_12029"	4	1	1	6	1	1	16	0	3	14	5	2	5	6	1	0	1	0	3	1	6	0	2	2	4	1	7	1	5	8	0	3	9	5	2	6	3	1	1	0	0	7	3	1	9	1	4	2	0	0	0	1	1	2	0	0	1	3	2	0	2	3	1	1	1	0	0	3	1	42	1	5	5	10	1	0	2	1	1	1	2	1	4	1	0	2	3	5	6	1	0	2	0	0	1	0	0	3	2	0	281	71	1	1	1	7	2	1	1	1	1	1	0	1	1	2	1	0	1	3	5	4	14	1	11	10	50	10	3	5	4	0	0	5	1	2	3	1	4	0	0	0	4	0	3	5	1	4	1	1	3	1	0	0	4	2	0	0	0	2	2	2	8	5	4	0	6	2	2	9	0	5	1	0	1	1	1	2	2	1	1	1	0	5	1	0	0	3	0	0	0	12	5	0	4	1	0	2	3	0	1	1	1	3	3	46	1	3	0	5	2	1	0	0
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int3_BB5_1_11989"	5	1	0	4	2	1	16	1	3	13	4	2	5	6	1	0	1	0	4	1	5	1	1	1	7	2	6	1	4	9	0	4	9	5	2	6	2	1	1	0	0	11	3	1	13	0	3	2	1	1	0	1	1	2	0	1	1	2	3	0	1	4	1	1	1	0	0	4	1	32	1	5	5	9	2	1	3	1	0	0	2	0	5	1	0	4	2	6	6	0	0	2	0	0	1	1	0	3	2	0	264	64	1	1	2	10	2	0	1	0	1	1	0	3	1	4	2	1	1	2	4	3	12	1	14	12	46	9	3	3	2	0	0	6	1	3	3	1	4	0	1	0	3	0	3	4	1	3	1	1	3	1	0	0	3	2	0	0	0	2	1	2	6	4	5	0	6	2	2	8	0	6	1	0	0	2	1	0	2	2	1	1	0	4	0	0	0	2	1	0	0	8	5	0	4	1	0	2	1	0	2	2	2	6	2	45	1	1	0	4	2	1	0	0
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Rd1_RB4_1_11936"	5	1	1	6	2	1	15	1	3	10	4	4	2	5	1	0	1	0	4	1	5	1	0	1	7	1	6	1	3	8	0	3	11	3	2	6	1	0	1	0	0	8	3	0	9	1	4	2	0	0	0	1	1	2	0	0	1	3	1	0	1	3	1	0	1	1	0	1	2	36	1	3	4	10	0	1	3	1	0	1	2	0	6	1	0	3	3	4	6	1	0	1	0	0	1	1	0	2	3	0	255	57	1	1	1	8	2	1	1	0	1	1	0	2	1	3	1	0	1	2	6	3	12	0	12	8	42	7	2	3	3	0	0	6	0	2	2	1	4	1	1	0	2	0	1	5	0	4	1	2	3	1	0	0	4	2	0	0	0	3	2	2	6	3	3	0	5	3	1	8	1	8	1	0	1	2	1	2	1	1	1	1	0	3	0	0	0	3	1	0	0	9	4	0	3	0	0	2	2	0	2	0	0	7	0	34	1	1	0	5	2	1	0	1
"neg_DANCE_RDvsIR_2021_EM_Censet_Int1_RC3_1_11943"	1	0	1	3	0	1	13	1	1	8	0	4	2	4	0	0	1	0	1	2	2	0	0	2	7	1	6	0	2	4	0	2	3	3	0	6	1	1	0	1	0	3	0	0	8	0	1	2	0	0	0	0	0	2	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	19	0	2	1	5	0	0	0	0	0	1	0	0	0	0	0	1	0	7	3	1	0	0	1	0	0	0	0	1	0	0	140	25	0	0	1	4	1	0	1	0	1	1	0	2	1	0	0	0	0	0	4	1	5	0	4	13	39	5	1	2	1	0	2	3	1	1	0	1	0	0	2	0	2	0	0	0	1	1	0	0	1	0	0	1	4	1	0	0	0	1	0	0	6	2	3	0	4	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	1	0	3	4	33	2	1	1	3	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Censet_Int2_RC6_1_11949"	1	0	1	3	0	1	8	1	2	9	0	3	4	3	0	0	1	0	1	2	1	0	0	2	4	2	6	0	2	4	1	2	2	2	0	4	1	1	0	1	0	5	1	0	7	0	1	1	0	1	0	0	1	2	0	0	0	1	1	0	0	2	1	0	0	1	0	1	0	23	0	2	2	4	0	0	0	0	0	1	0	0	0	0	0	1	0	6	3	0	1	0	1	0	0	0	0	1	0	0	149	32	0	0	1	4	1	0	1	1	1	1	0	2	1	0	0	0	0	1	5	1	5	0	4	12	39	6	2	2	1	0	2	4	2	1	0	1	0	0	3	0	2	0	1	1	1	1	0	0	2	0	0	1	3	2	0	0	0	0	0	0	4	2	2	0	4	1	1	2	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	2	4	35	2	1	2	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Censet_Int3_GE2_1_12068"	1	0	1	1	1	0	10	1	3	12	0	3	4	3	0	0	1	0	0	2	1	0	0	2	6	2	6	0	2	2	1	3	1	2	0	5	1	1	0	1	0	3	1	0	8	1	2	1	0	1	0	0	1	2	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	20	0	4	1	5	1	0	1	0	0	1	0	0	0	0	0	1	0	7	2	0	1	0	1	0	0	0	0	3	0	0	172	24	0	0	1	4	1	0	1	0	1	1	0	2	1	0	0	0	0	2	3	0	7	0	5	11	41	6	2	2	1	0	3	4	2	1	0	1	0	0	3	0	1	0	2	1	1	2	0	0	2	0	0	1	2	2	0	0	0	0	0	0	4	2	2	0	2	1	0	3	0	0	2	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	4	0	0	0	0	1	1	1	1	3	0	2	4	40	2	1	2	3	0	0	0	2
"neg_DANCE_RDvsIR_2021_EM_Censet_Rd1_GA8_1_12033"	1	0	1	2	0	1	9	1	3	6	0	2	4	4	0	1	1	0	0	2	2	0	0	1	5	2	5	0	4	4	0	3	0	2	0	3	1	1	0	1	0	4	0	0	7	0	0	1	0	0	0	0	1	2	0	0	0	2	1	0	0	3	1	0	0	0	0	1	0	17	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	1	0	0	1	0	0	0	0	1	0	0	159	22	0	0	0	5	1	0	1	0	1	1	0	2	1	0	0	0	0	0	4	0	4	0	4	9	33	6	1	2	1	0	1	1	2	1	0	1	0	0	2	0	2	0	2	1	1	1	0	0	2	0	0	1	3	1	0	0	0	1	0	0	3	1	1	0	3	1	1	1	0	0	2	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	1	0	0	3	0	0	0	0	0	1	1	1	1	0	3	4	27	0	1	2	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int1_RB2_1_11931"	3	0	0	3	0	0	11	1	0	5	1	3	3	2	0	1	1	0	1	0	4	0	1	3	6	2	6	0	8	3	2	1	2	1	0	6	4	1	0	0	0	7	2	0	4	1	0	2	0	1	0	0	1	1	0	2	1	2	1	1	2	2	1	0	1	0	0	1	0	15	0	0	1	6	1	2	0	0	0	0	0	0	0	0	0	2	2	3	1	2	0	0	0	0	1	0	0	2	1	0	144	20	2	0	1	4	1	1	1	1	1	1	0	1	0	2	0	0	0	2	3	0	6	0	8	6	25	7	1	1	1	1	3	0	1	2	3	1	2	0	4	0	6	0	2	0	1	1	0	0	1	0	0	0	2	1	0	3	0	3	2	0	4	3	1	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	3	0	1	0	0	0	1	0	0	2	0	3	1	36	0	0	0	2	0	0	0	1
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int2_RD4_1_11955"	2	0	0	3	1	0	12	1	0	7	1	5	5	5	0	1	1	0	1	1	3	0	1	2	8	2	9	0	6	3	1	2	1	2	0	3	3	1	0	0	0	9	1	0	4	1	1	3	0	0	0	0	1	1	0	2	2	1	1	0	0	1	1	0	0	0	0	0	0	11	0	0	2	6	1	1	0	0	0	1	0	0	0	0	0	2	1	2	4	1	0	0	0	0	0	0	0	4	0	0	153	25	3	0	0	4	1	0	1	1	1	0	0	1	0	1	0	0	0	2	3	0	7	0	4	7	32	6	2	1	0	0	3	0	1	0	2	1	1	0	3	0	5	0	2	0	0	1	0	0	1	0	0	0	2	2	0	3	1	2	1	1	1	5	2	0	6	2	0	3	0	0	1	0	1	2	0	1	0	0	2	0	0	1	0	1	0	2	0	0	0	3	1	1	1	1	0	0	1	0	0	2	0	6	0	37	0	0	1	2	0	0	0	2
