"frequency"
"Organic compounds; Alkaloids and derivatives; Corynanthean-type alkaloids"	274
"Organic compounds; Alkaloids and derivatives; Ergoline and derivatives; Lysergic acids and derivatives; Ergopeptines"	18
"Organic compounds; Alkaloids and derivatives; Lupin alkaloids; Cytisine and derivatives"	24
"Organic compounds; Benzenoids"	430
"Organic compounds; Benzenoids; Anthracenes"	125
"Organic compounds; Benzenoids; Anthracenes; Anthraquinones"	60
"Organic compounds; Benzenoids; Benzene and substituted derivatives"	1353
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Anilides"	93
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Anilides; Aromatic anilides"	166
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonamides"	1088
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonamides; Aminobenzenesulfonamides"	123
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonic acids and derivatives"	437
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzenesulfonyl compounds"	358
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives"	422
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Acylaminobenzoic acid and derivatives"	39
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Benzamides"	55
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Benzoic acid esters"	92
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Benzoic acids"	5
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Hydroxybenzoic acid derivatives"	116
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Methoxybenzoic acids and derivatives"	81
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoyl derivatives"	341
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzyl alcohols"	12
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Biphenyls and derivatives"	98
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Halobenzenes; Chlorobenzenes"	230
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Halobenzenes; Fluorobenzenes"	757
"Organic compounds; Benzenoids; Benzene and substituted derivatives; N-phenylureas"	235
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Nitrobenzenes"	780
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenoxy compounds"	18
"Organic compounds; Benzenoids; Benzene and substituted derivatives; Trifluoromethylbenzenes"	412
"Organic compounds; Benzenoids; Naphthalenes"	461
"Organic compounds; Benzenoids; Naphthalenes; Naphthalene sulfonic acids and derivatives; Naphthalene sulfonamides"	145
"Organic compounds; Benzenoids; Naphthalenes; Naphthols and derivatives"	236
"Organic compounds; Benzenoids; Phenol ethers"	365
"Organic compounds; Benzenoids; Phenol ethers; Anisoles"	265
"Organic compounds; Benzenoids; Phenols"	86
"Organic compounds; Benzenoids; Phenols; 1-hydroxy-2-unsubstituted benzenoids"	650
"Organic compounds; Benzenoids; Phenols; Benzenediols"	155
"Organic compounds; Benzenoids; Phenols; Benzenediols; Catechols"	111
"Organic compounds; Benzenoids; Phenols; Benzenetriols and derivatives; Phloroglucinols and derivatives"	46
"Organic compounds; Benzenoids; Phenols; Benzenetriols and derivatives; Pyrogallols and derivatives"	30
"Organic compounds; Benzenoids; Phenols; Halophenols; Iodophenols"	24
"Organic compounds; Lignans, neolignans and related compounds"	670
"Organic compounds; Lignans, neolignans and related compounds; Furanoid lignans; Furofuran lignans"	118
"Organic compounds; Lignans, neolignans and related compounds; Furanoid lignans; Tetrahydrofuran lignans"	20
"Organic compounds; Lignans, neolignans and related compounds; Lignan glycosides"	602
"Organic compounds; Lignans, neolignans and related compounds; Lignan lactones"	45
"Organic compounds; Lipids and lipid-like molecules"	294
"Organic compounds; Lipids and lipid-like molecules; Fatty Acyls"	203
"Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Eicosanoids; Leukotrienes"	18
