"frequency"
"Organic compounds"	72409
"Organic compounds; Alkaloids and derivatives"	316
"Organic compounds; Benzenoids"	10500
"Organic compounds; Lignans, neolignans and related compounds"	1455
"Organic compounds; Lipids and lipid-like molecules"	6341
"Organic compounds; Nucleosides, nucleotides, and analogues"	1518
"Organic compounds; Organic 1,3-dipolar compounds"	215
"Organic compounds; Organic acids and derivatives"	27329
"Organic compounds; Organic nitrogen compounds"	837
"Organic compounds; Organic oxygen compounds"	8900
"Organic compounds; Organohalogen compounds"	165
"Organic compounds; Organoheterocyclic compounds"	6826
"Organic compounds; Organosulfur compounds"	176
"Organic compounds; Phenylpropanoids and polyketides"	7831
"Organic compounds; Alkaloids and derivatives; Corynanthean-type alkaloids"	274
"Organic compounds; Alkaloids and derivatives; Ergoline and derivatives"	18
"Organic compounds; Alkaloids and derivatives; Lupin alkaloids"	24
"Organic compounds; Benzenoids; Anthracenes"	185
"Organic compounds; Benzenoids; Benzene and substituted derivatives"	7311
"Organic compounds; Benzenoids; Naphthalenes"	842
"Organic compounds; Benzenoids; Phenol ethers"	630
"Organic compounds; Benzenoids; Phenols"	1102
"Organic compounds; Lignans, neolignans and related compounds; Furanoid lignans"	138
"Organic compounds; Lignans, neolignans and related compounds; Lignan glycosides"	602
"Organic compounds; Lignans, neolignans and related compounds; Lignan lactones"	45
"Organic compounds; Lipids and lipid-like molecules; Fatty Acyls"	1669
"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids"	258
"Organic compounds; Lipids and lipid-like molecules; Prenol lipids"	3595
"Organic compounds; Lipids and lipid-like molecules; Saccharolipids"	47
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives"	478
"Organic compounds; Nucleosides, nucleotides, and analogues; 5-5-dinucleotides"	294
"Organic compounds; Nucleosides, nucleotides, and analogues; 5-deoxyribonucleosides"	129
"Organic compounds; Nucleosides, nucleotides, and analogues; Purine nucleosides"	458
"Organic compounds; Nucleosides, nucleotides, and analogues; Purine nucleotides"	554
"Organic compounds; Nucleosides, nucleotides, and analogues; Pyrimidine nucleosides"	12
"Organic compounds; Nucleosides, nucleotides, and analogues; Pyrimidine nucleotides"	71
"Organic compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds"	215
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives"	26033
"Organic compounds; Organic acids and derivatives; Hydroxy acids and derivatives"	213
"Organic compounds; Organic acids and derivatives; Keto acids and derivatives"	210
"Organic compounds; Organic acids and derivatives; Organic phosphonic acids and derivatives"	65
"Organic compounds; Organic acids and derivatives; Organic phosphoric acids and derivatives"	155
"Organic compounds; Organic acids and derivatives; Organic sulfonic acids and derivatives"	341
"Organic compounds; Organic acids and derivatives; Organic sulfuric acids and derivatives"	247
"Organic compounds; Organic acids and derivatives; Peptidomimetics"	65
"Organic compounds; Organic nitrogen compounds; Organonitrogen compounds"	837
"Organic compounds; Organic oxygen compounds; Organooxygen compounds"	8900
"Organic compounds; Organohalogen compounds; Aryl halides"	165
"Organic compounds; Organoheterocyclic compounds; Azaphilones"	162
"Organic compounds; Organoheterocyclic compounds; Azoles"	308
"Organic compounds; Organoheterocyclic compounds; Benzimidazoles"	139
"Organic compounds; Organoheterocyclic compounds; Benzodiazepines"	21
"Organic compounds; Organoheterocyclic compounds; Benzodioxoles"	234
"Organic compounds; Organoheterocyclic compounds; Benzopyrans"	614
"Organic compounds; Organoheterocyclic compounds; Benzothiazines"	100
"Organic compounds; Organoheterocyclic compounds; Benzothiophenes"	98
"Organic compounds; Organoheterocyclic compounds; Biotin and derivatives"	228
"Organic compounds; Organoheterocyclic compounds; Diazanaphthalenes"	36
"Organic compounds; Organoheterocyclic compounds; Diazinanes"	212
"Organic compounds; Organoheterocyclic compounds; Diazines"	677
"Organic compounds; Organoheterocyclic compounds; Dioxepanes"	22
"Organic compounds; Organoheterocyclic compounds; Dithiolanes"	75
"Organic compounds; Organoheterocyclic compounds; Imidazopyrimidines"	830
"Organic compounds; Organoheterocyclic compounds; Indoles and derivatives"	1186
"Organic compounds; Organoheterocyclic compounds; Isoindoles and derivatives"	217
"Organic compounds; Organoheterocyclic compounds; Isoquinolines and derivatives"	88
"Organic compounds; Organoheterocyclic compounds; Naphthopyrans"	439
"Organic compounds; Organoheterocyclic compounds; Oxanes"	27
"Organic compounds; Organoheterocyclic compounds; Oxepanes"	102
"Organic compounds; Organoheterocyclic compounds; Pteridines and derivatives"	192
"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives"	196
"Organic compounds; Organoheterocyclic compounds; Pyrroles"	105
"Organic compounds; Organoheterocyclic compounds; Quinolines and derivatives"	138
"Organic compounds; Organoheterocyclic compounds; Tetrahydroisoquinolines"	62
"Organic compounds; Organoheterocyclic compounds; Tetrapyrroles and derivatives"	6
"Organic compounds; Organoheterocyclic compounds; Thienopyrimidines"	312
"Organic compounds; Organosulfur compounds; Thioethers"	176
"Organic compounds; Phenylpropanoids and polyketides; 2-arylbenzofuran flavonoids"	189
"Organic compounds; Phenylpropanoids and polyketides; Anthracyclines"	17
"Organic compounds; Phenylpropanoids and polyketides; Cinnamic acids and derivatives"	1089
"Organic compounds; Phenylpropanoids and polyketides; Coumarins and derivatives"	178
"Organic compounds; Phenylpropanoids and polyketides; Depsides and depsidones"	39
"Organic compounds; Phenylpropanoids and polyketides; Diarylheptanoids"	131
"Organic compounds; Phenylpropanoids and polyketides; Flavonoids"	5741
"Organic compounds; Phenylpropanoids and polyketides; Isoflavonoids"	273
"Organic compounds; Phenylpropanoids and polyketides; Linear 1,3-diarylpropanoids"	84
"Organic compounds; Phenylpropanoids and polyketides; Macrolactams"	18
"Organic compounds; Phenylpropanoids and polyketides; Tannins"	13
"Organic compounds; Phenylpropanoids and polyketides; Tetracyclines"	59
