"frequency"
"Organic compounds"	72409
"Organic compounds; Alkaloids and derivatives"	316
"Organic compounds; Benzenoids"	10500
"Organic compounds; Lignans, neolignans and related compounds"	1455
"Organic compounds; Lipids and lipid-like molecules"	6341
"Organic compounds; Nucleosides, nucleotides, and analogues"	1518
"Organic compounds; Organic 1,3-dipolar compounds"	215
"Organic compounds; Organic acids and derivatives"	27329
"Organic compounds; Organic nitrogen compounds"	837
"Organic compounds; Organic oxygen compounds"	8900
"Organic compounds; Organohalogen compounds"	165
"Organic compounds; Organoheterocyclic compounds"	6826
"Organic compounds; Organosulfur compounds"	176
"Organic compounds; Phenylpropanoids and polyketides"	7831
