"features"	"richness"	"menhinick"	"shannon"	"pielou"	"simpson"	"inverse"	"fisher"	"unique"	"hillfunc"
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int1_GD5_1_12060"	2128	2128	114.631937971089	7.74504572813674	0.998397283599281	0.999561535020752	2280.68385693025	599.508562018849	344	2288739.37938203
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int2_GA4_1_12029"	2115	2115	114.98369501022	7.73183582132656	0.998411597458451	0.999555699810245	2250.73052647364	593.797036140256	323	2234840.4178448
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int3_BB5_1_11989"	2052	2052	116.735451735999	7.71016535450665	0.998379815558182	0.999545901694128	2202.1663306602	582.08955907597	308	2161115.00090185
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Rd1_RB4_1_11936"	1902	1902	121.251240413398	7.65254721636556	0.998338287151278	0.999518793443709	2078.10967437128	551.76259950311	319	1899804.04266582
"neg_DANCE_RDvsIR_2021_EM_Censet_Int1_RC3_1_11943"	1047	1047	163.424853995755	7.25969740252887	0.997872914036342	0.99928527231521	1399.13427348775	381.816880619262	23	949692.546898145
"neg_DANCE_RDvsIR_2021_EM_Censet_Int2_RC6_1_11949"	1060	1060	162.419628890897	7.2185844791927	0.997844578565092	0.999255160604738	1342.57130646026	365.113793740413	20	874805.55324601
"neg_DANCE_RDvsIR_2021_EM_Censet_Int3_GE2_1_12068"	1186	1186	153.549745854362	7.2981044998117	0.99802408306556	0.999312869020426	1455.32661126801	393.912709369377	25	1030072.98977619
"neg_DANCE_RDvsIR_2021_EM_Censet_Rd1_GA8_1_12033"	1033	1033	164.528555856297	7.24876447618093	0.99789845768557	0.999277619031795	1384.31111008405	377.809941308684	23	930832.687751429
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int1_RB2_1_11931"	1034	1034	164.448977348205	7.19626237969306	0.997777116716837	0.999238239933668	1312.7493080789	356.789991351493	72	839066.174559966
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int2_RD4_1_11955"	1075	1075	161.282487983763	7.14330041393218	0.997766330654199	0.99919689154222	1245.16183376257	334.530996230366	94	745721.561567736
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int3_RC4_1_11944"	1012	1012	166.226855799335	7.08945856323078	0.997702215356195	0.999152237984849	1179.57632227921	317.028467204436	79	674701.118706085
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int4_BC2_1_11994"	1176	1176	154.201211426636	7.23188317512457	0.997804930747702	0.999264957001613	1360.46462886535	365.235721244018	98	890323.854359108
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int5_RA7_1_11928"	1011	1011	166.309044608213	7.12758568035019	0.997645500942712	0.999183294560191	1224.43166318838	332.319919925678	80	724922.539572176
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int6_GB1_1_12034"	1186	1186	153.549745854362	7.24947592133267	0.997900230810562	0.999278295860885	1385.60934571638	372.170288145013	98	917901.782377768
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd1_GA5_1_12030"	1263	1263	148.795491124358	7.2857492060227	0.998075541000708	0.999304780335431	1438.39429602389	385.584180859861	105	998710.287255523
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd2_BD6_1_12009"	1119	1119	158.079809256993	7.19207485724749	0.997810027599517	0.999235239230408	1307.59845400186	351.758448064091	80	825073.01329816
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd3_GA3_1_12028"	1290	1290	147.230094665438	7.29101038837312	0.998059211261656	0.999308352776836	1445.82377621062	386.219941636242	112	999677.109661998
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd4_RB6_1_11938"	1209	1209	152.082168378783	7.25676883006326	0.998041577293884	0.99928421065392	1397.05907258333	374.63212079074	103	936036.098297473
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd5_BC3_1_11995"	1242	1242	150.048151155075	7.26453219660755	0.998157943186282	0.999290264931743	1408.97645434894	376.745337264197	106	950015.744997432
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Int1_BE1_1_12015"	1176	1176	154.201211426636	7.25574319451674	0.997996002126651	0.999283042484421	1394.78278457323	375.594881127937	29	961193.750646878
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Int2_BE5_1_12019"	946	946	171.927709868767	7.16724036002456	0.997790464303253	0.999215815054786	1275.20938281533	348.59740252574	34	802948.537287992
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd2_BB2_1_11983"	1334	1334	144.781653314333	7.37315462364956	0.997862824581443	0.999361757246099	1566.80196349621	421.296712809524	70	1187311.0049254
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd3_RD3_1_11954"	1166	1166	154.861039906623	7.294833951976	0.997941480463402	0.999310358093609	1450.02789234944	393.072818969526	63	1021088.39265511
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd4_GE4_1_12070"	1148	1148	156.070385265093	7.29666038029488	0.997826598080705	0.999310885128458	1451.13687325052	394.473424643326	55	1038754.42944379
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd5_GC2_1_12046"	1068	1068	161.81017222414	7.23351522439831	0.997736485397462	0.999265546720081	1361.55699394599	370.205530753431	67	913150.639855363
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Int1_BA7_1_11980"	1353	1353	143.761484325469	7.35421387969187	0.998082905074836	0.999350689373326	1540.09492363138	411.991313395975	75	1141991.57995414
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Int2_GE5_1_12071"	1424	1424	140.131719736841	7.40204513641907	0.998229310434328	0.999381654873677	1617.2198298824	431.894712654101	76	1265124.62550849
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Rd2_RE5_1_11967"	1152	1152	155.799194121436	7.26476545979931	0.998000722877461	0.999289545051298	1407.54878522062	380.434145943381	61	961517.248765575
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Rd3_RE7_1_11969"	1398	1398	141.428801400288	7.37946640050561	0.998133882957851	0.999367110102759	1580.05366234895	421.816402277923	88	1197037.67923319
"neg_DANCE_RDvsIR_2021_EM_Klener_Int1_BB3_1_11987"	955	955	171.115661566988	7.12014187752535	0.997932838168464	0.99917916665261	1218.27409081284	331.188326690383	69	725763.153577868
"neg_DANCE_RDvsIR_2021_EM_Klener_Int2_BB1_1_11982"	1166	1166	154.861039906623	7.27289485202353	0.997987558661938	0.999295460323676	1419.36647942591	383.288174878139	82	985025.847936577
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd1_GC4_1_12048"	1190	1190	153.291461826507	7.27864620775802	0.997936367337941	0.999299195048938	1426.93055818774	383.499097891861	95	988343.618630311
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd2_RE4_1_11966"	1203	1203	152.460953942773	7.29424615979005	0.998043845654985	0.999310564131372	1450.46123287658	391.092791699058	90	1019627.53961039
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd3_BC4_1_11996"	1185	1185	153.614521113879	7.28412585455592	0.998038041424842	0.999303474845345	1435.69832807519	387.693243334254	80	1003314.03083512
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd4_BD7_1_12013"	458	458	247.09201298726	6.58719394109971	0.997463654454727	0.998598609610461	713.577035681792	199.099400163379	43	252454.633058271
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Int1_GD2_1_12057"	2200	2200	112.740538808847	7.75957012733098	0.998412214153584	0.999567878056925	2314.16158338226	606.721096228134	354	2351230.26547244
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Int2_RD6_1_11957"	1945	1945	119.903440156818	7.65877047017493	0.998358771912601	0.999521833730042	2091.32275283151	554.02227721972	278	1955724.41469832
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd1_GE1_1_12067"	1967	1967	119.231021986585	7.66615875728295	0.998355178021018	0.999525400880301	2107.04141346724	557.419980555851	327	1970826.24839995
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd2_RD2_1_11953"	2187	2187	113.075119387953	7.75762155137873	0.998432463761758	0.999567129571286	2310.16011643925	606.536448883344	366	2341407.64962836
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd3_GC3_1_12047"	2249	2249	111.505610224801	7.77783857792935	0.998455688817577	0.999575849676252	2357.65468988562	617.600885391499	369	2427246.78176125
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd4_BD1_1_12004"	2026	2026	117.482106763857	7.68880113014045	0.99838998462242	0.999536097323389	2155.62455320537	567.712425264171	348	2036222.94296265
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd5_BD8_1_12014"	2200	2200	112.740538808847	7.75299634257735	0.99843550113866	0.999565095279874	2299.35421190674	604.341331444699	353	2328934.62516586
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd6_GB8_1_12044"	2108	2108	115.174448990172	7.72213045702726	0.998393135590846	0.999551298660001	2228.65391933501	587.726324637249	332	2204374.61551296
"neg_DANCE_RDvsIR_2021_PG_Censet_Int1_GA2_1_12027"	1178	1178	154.070254960188	7.30196728456909	0.998007135023131	0.999315424242722	1460.75870985625	395.405153519487	17	1038300.45922897
"neg_DANCE_RDvsIR_2021_PG_Censet_Int2_GA6_1_12031"	1012	1012	166.226855799335	7.2055063089885	0.997839833518291	0.999245400931554	1325.20704280683	361.891159856059	14	853582.559261175
"neg_DANCE_RDvsIR_2021_PG_Censet_Int3_RA1_1_11922"	1005	1005	166.80475075855	7.20032937003922	0.997831806151421	0.999241465908508	1318.33230861509	360.633754395975	20	843422.993492641
"neg_DANCE_RDvsIR_2021_PG_Censet_Int4_GB2_1_12035"	1020	1020	165.573702562914	7.22211916695121	0.997935644974071	0.999258226942097	1348.12122029128	368.031059187431	20	882331.150953351
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd1_BA3_1_11976"	1132	1132	157.169486064641	7.26596038098862	0.997975906152853	0.999290308750364	1409.06344908758	382.029626563122	21	963043.71242084
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd2_RA2_1_11923"	1037	1037	164.210932865376	7.21640315261471	0.997841930758628	0.999253530772646	1339.63995213166	365.291014013206	20	872654.058867155
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd3_BD2_1_12005"	1007	1007	166.639023195764	7.23351642109871	0.997932311119334	0.999266697037452	1363.6928405752	372.997166464284	19	902698.991676485
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd4_GC1_1_12045"	903	903	175.973621299142	7.14223571548065	0.997726025002571	0.999195486345587	1242.98698289905	341.647470707014	15	753876.948217593
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd5_BA2_1_11975"	905	905	175.779067761163	7.14066237733911	0.997832046226997	0.999194792946052	1241.91659163471	341.138623310077	14	752019.973200654
"neg_DANCE_RDvsIR_2021_PG_Esccal_Int1_RD1_1_11952"	1071	1071	161.583388409506	7.17723420590373	0.997608896213471	0.999222565428727	1286.28187753733	347.090536078373	89	797153.548893049
"neg_DANCE_RDvsIR_2021_PG_Esccal_Int2_GB4_1_12040"	1119	1119	158.079809256993	7.19551772499187	0.997775929814455	0.999237719585799	1311.85319912526	352.791969124609	92	830740.73414392
"neg_DANCE_RDvsIR_2021_PG_Esccal_Int3_GA7_1_12032"	1160	1160	155.261026039688	7.22572876035173	0.997741865102607	0.999260304446492	1351.90754528309	362.760207884815	107	881017.536343979
