"MolWeight"	"nAtoms"	"numC"	"numN"	"numP"	"numO"	"numHydrogen"	"CNRatio"	"XLogP"	"Fsp3"	"MW"	"LipinskiFailures"	"nRotB"	"MLogP"	"nAtomLAC"	"nAtomP"	"nAtomLC"	"nB"	"nBase"	"nAtom"	"nAromBond"	"naAromAtom"	"ALogP"	"ALogp2"	"AMR"	"nAcid"	"nA"	"nR"	"nN"	"nD"	"nC"	"nF"	"nQ"	"nE"	"nG"	"nH"	"nI"	"nP"	"nL"	"nK"	"nM"	"nS"	"nT"	"nY"	"nV"	"nW"	"nSmallRings"	"nAromRings"	"nRingBlocks"	"nAromBlocks"	"nRings3"	"nRings4"	"nRings5"	"nRings6"	"nRings7"	"nRings8"	"nRings9"	"tpsaEfficiency"	"Zagreb"	"WPATH"	"WPOL"	"WTPT.1"	"WTPT.2"	"WTPT.3"	"WTPT.4"	"WTPT.5"	"VAdjMat"	"VABC"	"TopoPSA"	"topoShape"	"geomShape"	"PetitjeanNumber"	"MDEC.11"	"MDEC.12"	"MDEC.13"	"MDEC.14"	"MDEC.22"	"MDEC.23"	"MDEC.24"	"MDEC.33"	"MDEC.34"	"MDEC.44"	"MDEO.11"	"MDEO.12"	"MDEO.22"	"MDEN.11"	"MDEN.12"	"MDEN.13"	"MDEN.22"	"MDEN.23"	"MDEN.33"	"khs.sLi"	"khs.ssBe"	"khs.ssssBe"	"khs.ssBH"	"khs.sssB"	"khs.ssssB"	"khs.sCH3"	"khs.dCH2"	"khs.ssCH2"	"khs.tCH"	"khs.dsCH"	"khs.aaCH"	"khs.sssCH"	"khs.ddC"	"khs.tsC"	"khs.dssC"	"khs.aasC"	"khs.aaaC"	"khs.ssssC"	"khs.sNH3"	"khs.sNH2"	"khs.ssNH2"	"khs.dNH"	"khs.ssNH"	"khs.aaNH"	"khs.tN"	"khs.sssNH"	"khs.dsN"	"khs.aaN"	"khs.sssN"	"khs.ddsN"	"khs.aasN"	"khs.ssssN"	"khs.sOH"	"khs.dO"	"khs.ssO"	"khs.aaO"	"khs.sF"	"khs.sSiH3"	"khs.ssSiH2"	"khs.sssSiH"	"khs.ssssSi"	"khs.sPH2"	"khs.ssPH"	"khs.sssP"	"khs.dsssP"	"khs.sssssP"	"khs.sSH"	"khs.dS"	"khs.ssS"	"khs.aaS"	"khs.dssS"	"khs.ddssS"	"khs.sCl"	"khs.sGeH3"	"khs.ssGeH2"	"khs.sssGeH"	"khs.ssssGe"	"khs.sAsH2"	"khs.ssAsH"	"khs.sssAs"	"khs.sssdAs"	"khs.sssssAs"	"khs.sSeH"	"khs.dSe"	"khs.ssSe"	"khs.aaSe"	"khs.dssSe"	"khs.ddssSe"	"khs.sBr"	"khs.sSnH3"	"khs.ssSnH2"	"khs.sssSnH"	"khs.ssssSn"	"khs.sI"	"khs.sPbH3"	"khs.ssPbH2"	"khs.sssPbH"	"khs.ssssPb"	"Kier1"	"Kier2"	"Kier3"	"HybRatio"	"fragC"	"FMF"	"ECCEN"	"SP.0"	"SP.1"	"SP.2"	"SP.3"	"SP.4"	"SP.5"	"SP.6"	"SP.7"	"VP.0"	"VP.1"	"VP.2"	"VP.3"	"VP.4"	"VP.5"	"VP.6"	"VP.7"	"SPC.4"	"SPC.5"	"SPC.6"	"VPC.4"	"VPC.5"	"VPC.6"	"SC.3"	"SC.4"	"SC.5"	"SC.6"	"VC.3"	"VC.4"	"VC.5"	"VC.6"	"SCH.3"	"SCH.4"	"SCH.5"	"SCH.6"	"SCH.7"	"VCH.3"	"VCH.4"	"VCH.5"	"VCH.6"	"VCH.7"	"C1SP1"	"C2SP1"	"C1SP2"	"C2SP2"	"C3SP2"	"C1SP3"	"C2SP3"	"C3SP3"	"C4SP3"	"ATSp1"	"ATSp2"	"ATSp3"	"ATSp4"	"ATSp5"	"ATSm1"	"ATSm2"	"ATSm3"	"ATSm4"	"ATSm5"	"ATSc1"	"ATSc2"	"ATSc3"	"ATSc4"	"ATSc5"
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int1_GD5_1_12060"	475103.597872592	33535	22834	2411	55	7653	27615	4965.5376984127	274.872	453.423191706844	475446.705553383	1395	8784	2753.75000000001	2123	12202	16505	35960	402	61150	0	0	-413.3592	6398.1841381	124593.8815	416	409	1	7	24	12	0	21	16	532	0	20	36	84	30	21	40	12	0	74	0	3392	1981	2450	1583	37	24	610	2669	52	0	0	315.026447589434	175514	4309035	57124	67531.7319125845	1952.00996546868	29627.5382626642	20421.1048970324	7420.11496186671	5963.68952781906	0	153045.28	903.324304861807	0	466.882302728823	459.529733679764	2494.2090584609	4250.63418323931	475.21130826906	8522.79964421818	20163.0029287201	961.840444753495	13106.7463287159	1257.48506168119	143.051609457496	2126.694416484	2548.56207353045	917.666162968804	19.6466511790169	141.450061229272	27.1298629973777	396.766918238917	326.206913284777	92.3942579113694	0	0	0	0	6	2	2046	48	3802	3	454	5095	4017	0	39	2101	3893	639	445	4	255	5	3	782	98	14	2	114	401	461	64	180	1	2744	2415	2273	148	255	0	0	0	0	0	0	2	53	0	18	19	85	35	6	98	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	27627.3064889721	12419.8044942934	7206.01313587694	454.166939408715	3294370.01	577.705365809594	920870	24413.9557597274	15942.0803019677	14819.8119549186	12208.3054966688	9845.8162831828	7898.65887442678	5667.30213498058	4083.11717725751	18836.8681080746	10985.4864974975	8563.26227007531	6099.91037281892	4310.12694938317	2978.51951722588	1834.53132160493	1149.28967797215	6332.55740761058	9830.63400360841	14443.0035222252	2446.99957770208	3391.6803826231	4297.55051329517	2825.72173384417	103.845793202314	825.802956165149	69.4082820764461	1249.55618839352	40.1195352534482	246.535353962204	23.2266193361913	8.79247013629977	14.1911363982437	66.4786961699239	326.607101798144	659.907296019298	6.3976282563895	9.63863224298977	35.6783068479936	143.461818060293	236.005897861745	18	24	2213	8051	1889	3924	4819	740	171	2227258.45025678	2648477.76795469	3808549.06390619	4127072.36207756	3922738.02900044	43138.3994100082	42223.2902019312	61646.8162624319	69680.0793267655	68876.5002274803	1052.78751052001	-471.739434876546	-85.5467847152098	80.1348341750317	-112.468505723962
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int2_GA4_1_12029"	481658.98029162	33987	23132	2463	55	7752	28119	5075.84801587302	288.712000000001	464.097758791052	482005.760126369	1378	8797	2792.95000000001	2240	12177	16722	36456	400	62106	0	0	-397.6567	6589.08049817001	126155.7007	423	398	1	8	20	12	0	20	18	507	0	22	33	78	30	19	38	11	0	78	0	3444	1972	2462	1581	37	23	620	2716	48	0	0	319.158710658986	177982	4329945	57970	68455.3772917671	1984.58074970867	30100.3897214957	20694.0657655054	7601.26410758337	6058.52172653814	0	154637.61	916.589288081201	0	474.150473587718	471.470292272293	2571.00491401765	4386.9272846119	471.95449250786	8761.95142585663	20270.3236327736	935.334402671877	13087.4025494709	1259.35293433441	147.785885489138	2152.49951984456	2599.46601695319	943.863320638218	18.8965377522889	146.561097636606	28.0312526855904	390.451627717816	334.608642515278	103.594014684584	0	0	0	0	5	2	2106	44	3932	5	488	5049	4121	0	46	2101	3876	652	440	4	258	6	3	752	97	17	2	111	416	516	63	190	0	2758	2455	2330	139	251	0	0	0	0	0	0	1	54	0	13	22	77	45	9	106	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	27979.7070294251	12574.2857348747	7299.04043276435	464.946727236189	3350117.55	586.519542894143	928612	24739.7622981258	16157.0617643232	15025.2306524125	12378.297743259	9991.31730084544	8034.27423251283	5771.95060398368	4173.81860139243	19112.9804110884	11155.0360343013	8695.76913793857	6199.19181899716	4388.98590314399	3041.19592508302	1877.97290870327	1180.81418672859	6423.1530052873	9979.45843124156	14709.8262922765	2480.85326668447	3442.4340894045	4373.46582116088	2864.38302941175	104.721061532643	841.316215865174	71.4696407953306	1264.79627313775	39.0410499064184	249.598095985816	22.5980089982592	8.78526941612652	14.3315906469091	67.2509582595872	332.078391786155	672.118690194477	6.14341104700779	9.87818936634938	36.5486887624441	146.510210363264	241.753337555968	23	28	2263	7976	1907	4071	4935	768	159	2265392.49666309	2695086.19681449	3879554.20517075	4207369.66251844	4005762.12305765	43724.2388726394	42876.5820840051	62568.8820628776	70729.0292344784	70027.8683605821	1071.31454752994	-483.344110621842	-84.3041377737502	83.5770022055164	-116.412871799278
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int3_BB5_1_11989"	465642.05646386	32853	22324	2423	63	7490	27059	4807.37222222222	228.112	445.562224653319	465976.540303766	1353	8611	2688.83000000001	2129	11805	16153	35230	396	59912	0	0	-407.9125	6341.77794457	122014.4395	454	439	1	9	26	14	0	22	20	559	0	22	35	88	28	21	47	14	0	84	0	3315	1921	2365	1536	46	25	601	2596	47	0	0	310.378167623086	171968	4213163	55916	66152.4470088226	1913.91762888372	29158.4326530862	19944.4293943918	7472.03775004478	5847.48120203696	0	150982.79	885.080099067601	0	457.626042435284	447.408282247617	2419.68197918121	4134.30087141075	451.295326823185	8493.94305885672	19690.9026469895	847.582991823565	12698.9996537791	1169.58302750639	132.898698925956	2140.52342032266	2444.85765211675	853.768990479295	17.9044004011815	146.575112398622	30.2938359955212	388.740592145	330.365937413563	97.1172032139184	0	0	0	0	4	2	1995	38	3782	5	470	4890	3922	0	37	2093	3787	636	408	4	254	8	3	771	95	14	2	112	401	479	58	196	1	2695	2422	2171	136	234	0	0	0	0	0	0	2	61	0	16	19	83	39	8	97	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	27071.615491086	12178.8774675823	7109.57799281022	446.500890184524	3219798.29000001	563.715213274667	900399	23919.9173705781	15615.4093228983	14529.6143904469	11943.0861751761	9636.04152719425	7743.49400183398	5552.89987572138	4012.25743864048	18457.7495708668	10777.6871813668	8411.75973212327	5988.27269675252	4237.7485200152	2934.52815892806	1808.03858949819	1136.81692932967	6187.70715630314	9592.23592352977	14119.0477051813	2392.71771499916	3314.01043966129	4201.62280816178	2774.35460041756	101.006524149405	805.5593276118	64.5906518296741	1225.80118872426	37.9102727371374	239.390281248713	21.0419575198629	11.1470767356923	16.6435723720756	65.9743159731654	320.761620886469	649.667549816022	8.37286297012422	11.7237495353384	35.7203018954718	141.654585076547	233.52389529925	20	22	2222	7769	1860	3849	4730	749	150	2186870.40430624	2601126.22332703	3739103.63357598	4053979.26930906	3860572.37517218	42336.2029394857	41465.7833073821	60417.0234037087	68194.5694483622	67563.4355938173	1031.02832498505	-464.376197708882	-80.1545386956067	81.7464995983688	-114.781277278129
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Rd1_RB4_1_11936"	436008.985836138	30768	20910	2224	50	7064	25428	4462.14841269842	251.234	416.122746952466	436320.377674553	1300	8178	2503.44	1944	10924	15147	32978	364	56196	0	0	-373.0512	5704.66017942001	113998.139	397	373	1	10	27	9	0	25	17	473	0	18	27	62	20	16	31	9	0	76	0	3082	1771	2229	1424	41	26	537	2442	36	0	0	286.340390215887	160870	4023175	52228	61945.6386805266	1771.58837418636	27314.1583528435	18859.4070629656	6852.07510752262	5427.98933558391	0	140676.71	818.444107281609	0	423.384169030388	437.702347811823	2278.55308034231	3979.96779871698	426.835941414627	7925.00597674765	18540.8092980475	795.998027472121	12070.9261019653	1115.06375138431	122.372193333394	1962.77159074401	2366.95992001324	873.176261315793	19.4003349619129	138.024196562286	26.3949795990134	351.395638393427	300.284657147304	87.5696996551454	0	0	0	0	4	1	1897	43	3565	3	416	4566	3732	0	32	2007	3466	580	388	4	236	9	3	704	80	13	2	100	370	458	53	166	2	2469	2274	2132	128	228	0	0	0	0	0	0	2	48	0	13	22	70	41	5	91	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	25389.4844878038	11440.8311740591	6684.57034893632	416.713161307137	3061516.58000001	522.33599810934	851929	22404.5105263993	14624.1026428241	13606.3134557403	11159.3045297392	8993.59357472947	7236.3423932681	5188.8651542989	3750.22976485241	17296.9812154632	10091.2289518673	7868.08515522435	5589.8710467881	3949.72778441268	2736.99122639877	1683.52714226709	1058.10233726172	5767.56979796214	8925.48528949151	13132.8768055531	2226.06884855208	3074.02662399641	3893.75180936722	2597.18211408705	93.7660778529019	747.386948682965	60.858489038096	1145.87062853602	35.6945065110749	221.47064878712	19.4591103344046	10.0632997792055	15.0434421167139	59.8019258026603	297.668765416309	600.529309778879	7.34484185188946	10.6854236621434	32.1139696343836	132.050041111911	216.876220586367	16	18	2105	7161	1720	3713	4431	716	142	2040080.67852648	2424415.09879506	3480690.51280851	3773122.27219661	3597542.30051113	39562.9873003567	38755.5689220869	56546.6902266996	63700.9475782281	63116.4898586484	976.970454235769	-442.858682029776	-73.4372832633865	78.6776064920589	-111.840330916049
"neg_DANCE_RDvsIR_2021_EM_Censet_Int1_RC3_1_11943"	246358.131664086	17411	11852	1309	18	3927	14357	2695.84841269841	133.169	228.656725333943	246536.567365927	729	4610	1420.77	1088	6413	8563	18642	204	31768	0	0	-228.1955	3581.27015361	64723.6982999999	202	244	0	7	10	10	0	14	8	296	0	10	29	46	14	8	27	8	0	30	0	1724	1035	1294	834	18	14	289	1372	31	0	0	161.230669132573	90736	2240106	29448	35042.8465454614	1001.94477161593	15372.9503612976	10449.9195806836	4021.92853466451	3073.18389715929	0	79325.33	465.930283605284	0	240.261197514061	208.227553754821	1260.16642906546	2089.80331191313	185.440049803537	4585.31823375492	10646.2376845893	386.958915993527	6777.3674997555	528.369236446062	51.7449518984334	1133.11127094883	1274.44334162665	424.304186778483	12.7990667907756	86.9629123597331	16.6239851657167	216.874745961694	181.06461716207	49.9402003306733	0	0	0	0	1	3	1025	14	2015	2	225	2702	2062	1	14	1085	2084	319	188	3	142	2	2	432	35	6	0	68	207	267	29	88	0	1449	1256	1121	68	142	0	0	0	0	0	0	1	17	0	7	3	39	18	2	58	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14395.2913319831	6534.54251073796	3816.01357733538	228.968176313197	1718736.59000001	297.476625464193	478876	12678.8546109075	8280.09406912151	7674.61441982898	6298.76301856738	5071.56229347289	4071.57465906797	2895.28731291914	2084.31675847411	9760.65035523123	5687.74127828731	4399.91528213263	3113.71752500409	2188.44320618618	1505.84727822241	918.063396878057	573.11387322363	3220.65379711262	4971.07926508181	7291.26103465033	1200.56588206638	1643.97992776725	2057.03607323969	1446.56663300354	49.0838467936542	413.84118649839	30.5969376765164	620.799529327481	16.5626675611526	114.262706621791	8.32424895789385	4.46677163360429	7.32261033488435	31.9051785895786	159.902450085887	321.14839071196	2.81478053516479	4.89145205545856	16.9940463836487	67.7849271104697	109.068729653485	8	8	1108	4257	1005	1978	2602	309	65	1151061.78435026	1364532.86993616	1950527.85543152	2112132.2635628	2014007.61281294	22298.3768256952	21814.9968587669	31724.1495369949	35823.7828197912	35561.3071981838	540.339756955501	-240.360747587222	-49.3593306609941	53.4903340235321	-70.8531394671148
"neg_DANCE_RDvsIR_2021_EM_Censet_Int2_RC6_1_11949"	255284.417327002	18039	12282	1338	22	4078	14890	2852.20595238095	144.149	241.429036963147	255467.894417889	757	4715	1475.49	1129	6653	8825	19326	202	32929	0	0	-229.917	3599.9231298	67023.2304	198	242	0	8	10	8	0	12	7	298	0	13	27	38	10	9	30	10	0	42	0	1795	1085	1335	864	21	12	317	1419	26	0	0	167.630843662295	94258	2309732	30618	36306.7474504061	1041.705218416	15943.8222291485	10858.2483514288	4131.82228497144	3191.44627154986	0	81749.47	481.798573648574	0	249.063288079901	248.846724443	1380.74437352739	2258.83241242078	239.560369775793	4602.21137441992	10917.0734409726	465.71300771416	7067.44118640829	598.114467944587	70.715271711951	1176.51039554252	1335.43077435703	439.917930414677	9.74310737341831	81.5912190693778	13.5036781697605	220.687605452209	186.319687266221	56.2297848520237	0	0	0	0	2	2	1126	13	2051	1	229	2765	2109	1	12	1102	2158	351	229	2	122	2	2	441	45	7	0	70	222	274	25	101	1	1518	1288	1166	76	151	0	0	0	0	0	0	1	21	0	4	3	44	21	4	57	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14897.011740629	6708.70473370077	3914.99380897892	241.664840564999	1784303.57000001	308.826793534985	493203	13140.2185587663	8572.84349719121	7973.57698338999	6546.32634941442	5267.06204610174	4229.96959397621	3014.79940610906	2174.0388347689	10128.5185142631	5894.2124740678	4585.11370512872	3235.89547386343	2270.92397079344	1566.33989695696	958.152291899378	599.904600523131	3384.15458942383	5225.0744355814	7673.5022163715	1269.04341468487	1729.94154294449	2170.6748794229	1525.83655509153	56.8064577543504	435.605003519637	34.572282991261	664.791558488066	20.4941151842124	121.600486150336	9.48562063106044	5.29412190279391	7.7123109944596	33.6878010192693	167.628619986999	338.407968101222	3.64213080435441	5.20372881706609	17.7850516684556	70.7875559627602	114.55625989272	8	5	1175	4368	1039	2116	2613	356	75	1197460.79932769	1421592.28803938	2038492.18128331	2208386.99571542	2111203.98201698	23083.3895586908	22651.0588456321	33020.7449296951	37268.1654464244	37051.926342802	561.901123026091	-249.754791913391	-49.1802880211641	46.4598504275419	-60.1879242777779
"neg_DANCE_RDvsIR_2021_EM_Censet_Int3_GE2_1_12068"	275458.880343017	19468	13352	1443	20	4295	16073	3130.5496031746	236.213	253.502164125653	275662.334704795	813	5130	1615.02	1186	7226	9579	20855	226	35541	0	0	-166.6681	3751.96859767	72916.8167	229	266	0	11	10	10	0	13	7	330	0	11	29	50	11	12	28	11	0	42	0	1929	1197	1441	957	20	10	334	1537	28	0	0	179.134461934471	101502	2500868	32866	39197.2790434279	1126.40786135455	16926.5625757446	11410.1999456199	4455.56966869616	3447.74877915698	0	87206.99	519.82022977023	0	268.812112915545	247.361099498856	1467.01420150414	2291.73415167853	241.419188492247	5218.31829821248	12120.8894467516	467.468713052675	7399.16367633898	598.148637468949	62.044953049431	1230.13604340666	1335.59733002797	432.539691994065	12.1196147249025	85.5042548592803	16.1134429990727	223.170267596283	189.513005890511	60.5772837315317	0	0	0	0	4	2	1151	17	2305	2	225	3154	2177	1	14	1215	2343	390	223	2	144	2	1	475	51	8	0	70	222	307	35	102	1	1571	1418	1193	75	152	0	0	0	0	0	0	0	20	0	8	4	49	25	5	69	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16078.715758858	7295.49897758881	4275.52189137345	253.929667332249	1921101.16000001	335.888512471985	535188	14167.237284962	9259.69627450215	8590.54252194344	7036.67586527969	5672.86101015989	4551.27726340494	3235.25138097433	2332.19739751499	10941.3653193637	6387.20522450744	4956.69373521381	3503.21490697506	2463.7788987818	1697.82271707974	1035.96236886781	648.994711608727	3593.35745140137	5549.99751017531	8124.53079950682	1356.10718825367	1854.85509546131	2320.12784328319	1624.54800220813	59.0805633885992	461.715653511342	35.6664126716591	707.197557106174	21.0564837954651	130.338970288922	10.1246408062998	5.05132262296717	7.03506065991602	34.7874945442092	179.126107186913	356.997917103024	3.48560453956184	4.93944850172131	18.5853196102623	75.8924283285369	120.905303664294	10	6	1256	4922	1127	2222	2819	389	74	1298485.41280928	1538992.18178185	2200203.03517793	2378818.71927584	2272795.29223297	24978.4799190619	24448.2057796301	35488.0265882881	39930.2329005117	39729.086608028	586.743158293173	-259.73776707433	-52.2823118188579	50.7820885393087	-68.7121747143777
"neg_DANCE_RDvsIR_2021_EM_Censet_Rd1_GA8_1_12033"	232867.649130527	16445	11244	1270	23	3610	13748	2582.98531746032	187.15	219.809953552691	233036.311718964	672	4416	1359.69	1036	6101	8079	17589	209	30193	0	0	-130.0152	3183.79963389999	61493.3517999999	209	239	0	6	7	10	0	12	9	303	0	5	31	34	12	8	23	10	0	30	0	1604	970	1207	786	20	10	278	1269	27	0	0	151.618908549372	85562	2083136	27600	33080.6265935963	954.989834720929	14404.5852104384	9589.31554150402	3904.30296074773	2922.61024219651	0	73914.97	443.790417915418	0	228.877640137254	225.56330519654	1262.7694892134	2021.28264855347	228.685595475837	4350.90226981339	9890.26706555432	432.36493315659	6134.14767540059	562.609073919668	64.6577766182386	1015.07362826668	1118.4060928439	379.542715229303	11.3044735652842	81.3021008561518	13.8572949205748	214.179098782507	172.18766745674	47.6912513395033	0	0	0	0	4	3	1012	16	2016	2	197	2589	1817	0	11	1063	1921	284	209	2	131	1	2	445	39	5	0	56	201	261	22	83	0	1267	1239	1022	57	125	0	0	0	0	0	0	1	22	0	6	4	41	19	2	65	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13619.5562425522	6201.67392189534	3692.77260380183	220.074400733187	1633699.01000001	281.261041449582	447075	11978.8229125568	7817.44390717474	7264.29463360776	5902.96625882423	4760.8535651007	3820.30349938637	2702.07151208969	1950.01637802059	9268.46486846971	5406.69359513252	4199.51067661614	2960.36961606477	2088.46336688016	1437.0550227276	877.446852565982	549.929660472374	3022.68909268942	4660.86428311262	6839.19977957057	1151.38606271661	1586.12362690093	1992.31640740633	1389.81246357969	56.0882789699041	392.8093461685	35.582707651105	604.352482599369	20.1496350492947	111.988619513837	9.82144609269925	4.75179380011045	7.838668756137	30.5048417108823	152.776349044184	300.17547028846	3.29328207538705	5.28104786016111	16.6346971136912	65.1007987496316	103.606609680999	7	6	1104	4007	904	1910	2435	325	72	1093931.34138572	1295208.3925892	1848804.97604716	1998900.08301612	1915000.04281217	21077.5723821851	20696.6226807914	29980.7075505955	33548.2454705368	33557.3840424552	498.780546737842	-226.655967840569	-37.8573004943644	47.2021082874342	-64.523174062932
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int1_RB2_1_11931"	256151.70392627	18055	12233	1324	34	4170	15049	2775.94047619048	112.655	243.091545560844	256341.863308245	817	4820	1443.97	1188	6187	8769	19357	229	33104	0	0	-247.4543	3995.25658127	66649.9959000001	237	276	0	10	14	4	0	15	17	354	0	7	34	44	13	8	24	11	0	48	0	1798	1011	1290	807	29	10	336	1393	30	0	0	164.666413891903	94582	2420414	30785	36343.2866975664	1016.78763382346	16129.5900921419	11119.9346367812	4086.98060252335	3133.45011092348	0	83141.51	469.889638139638	0	242.880413141758	249.593587114752	1351.72281722808	2244.41998285168	277.253489700979	4467.93437693245	10819.0696819098	513.45433906904	6751.58460145399	746.232934593508	99.014109652728	1225.28112559155	1412.91339191555	476.070934088067	11.8051604791723	82.3370431904155	15.8626194446014	231.524330178763	177.628349313604	52.6994215967308	0	0	0	0	2	3	1092	25	2164	1	220	2596	2237	0	15	1186	1967	348	256	2	139	3	1	459	58	4	6	40	219	269	25	88	0	1495	1356	1225	63	122	0	0	0	0	0	0	1	33	0	7	6	27	24	8	48	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14911.203147142	6717.96062209167	3952.02227194948	243.355121022182	1851470.22000001	301.075585873116	503329	13153.29017686	8575.01580288095	8005.8011502867	6555.31576376554	5299.58194974258	4248.20356780594	3036.94813460984	2192.20501243035	10156.2786365787	5937.1209656105	4650.36960480917	3297.85569047239	2341.74178183508	1609.56620708492	994.336564540767	625.731072699467	3419.08558534446	5330.05461574766	7862.49141163078	1326.59894813514	1852.74262126069	2351.2567902373	1547.09564177077	59.3948981840128	447.601248289718	38.816831919488	688.153133979208	23.8043845863445	133.785327782688	12.6357362577119	7.13499587871197	9.95928709952501	35.8416200650996	172.64035629633	352.165576221904	5.43246721813227	7.22292543097877	19.7332480755766	75.7476981979225	124.859595649322	5	11	1288	4019	977	2177	2778	415	86	1198030.89678387	1424738.2135958	2048774.80144762	2223946.5664672	2125594.1746565	23268.9484259201	22738.0716154863	33319.5793985424	37661.6926929263	37512.5752824659	576.485052477484	-261.129898721265	-41.6340298804845	46.5658248364654	-68.7959768927399
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int2_RD4_1_11955"	265468.231473272	18722	12709	1465	31	4194	15640	2883.99880952381	159.251	253.285703506332	265663.331482487	813	5136	1514.74	1255	6613	9230	20019	256	34362	0	0	-183.8443	3882.61772939	69542.0201	259	308	0	11	15	5	0	17	16	394	0	7	44	36	14	15	27	13	0	54	0	1812	1064	1328	861	20	10	343	1414	25	0	0	173.727621339597	97466	2493705	31540	37648.0701703829	1069.30280245717	16647.8628634415	11143.2698756767	4513.77359533278	3282.72660187568	0	85989.67	496.129165279165	0	256.294270762852	251.492807258636	1460.99682701706	2275.62058602369	245.076940853872	4934.58154133703	11349.1350447563	495.705669318527	6505.94982868641	634.557032670719	69.0962891825457	1232.52611377396	1335.82918838916	461.056097119934	13.2234353242691	94.3632273300911	17.9266075359589	245.858182909357	205.458492707458	61.8534587358921	0	0	0	0	3	1	1137	25	2316	1	232	2747	2182	0	20	1237	2097	351	230	1	162	4	1	481	61	7	7	53	243	297	34	99	0	1468	1441	1181	64	133	0	0	0	0	0	0	2	29	0	13	11	31	25	7	58	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15530.618219119	7067.99827613939	4201.23398951212	253.828053956526	1895913.13000001	308.893035969714	521635	13650.3612172462	8895.51855106487	8265.77917155224	6754.41226143728	5429.16212252202	4325.7590305271	3073.68982754781	2214.60145224378	10550.5371635133	6163.87967246413	4801.44313554503	3390.33109812555	2392.25196882218	1628.42932205803	999.103454379218	626.241391359157	3485.24781997015	5368.05247592122	7817.85457580777	1333.5553782772	1837.9194789341	2286.05938826749	1577.34551993458	57.8642583776662	451.903813993438	35.4224408214179	696.329515359536	22.2352796087536	130.055123911686	10.8202646250614	4.80487037505178	7.69390213631436	36.8589691946605	171.460910288328	341.743931658346	3.85732283704871	5.60506609569975	20.4204389884973	74.367397192687	118.802492172946	9	12	1348	4252	1020	2219	2820	408	84	1237949.62346925	1466269.80409067	2094643.5165005	2262437.04100088	2160503.76650777	24076.4249303153	23524.7949784818	34218.8428274197	38462.7796341946	38262.9886141378	584.141932938338	-265.821263747765	-38.174135659171	42.9142297183713	-68.8403281219464
