"Organic compounds"	"Alkaloids and derivatives"	"Benzenoids"	"Lignans, neolignans and related compounds"	"Lipids and lipid-like molecules"	"Nucleosides, nucleotides, and analogues"	"Organic 1,3-dipolar compounds"	"Organic acids and derivatives"	"Organic nitrogen compounds"	"Organic oxygen compounds"	"Organohalogen compounds"	"Organoheterocyclic compounds"	"Organosulfur compounds"	"Phenylpropanoids and polyketides"	"Corynanthean-type alkaloids"	"Ergoline and derivatives"	"Lupin alkaloids"	"Anthracenes"	"Benzene and substituted derivatives"	"Naphthalenes"	"Phenol ethers"	"Phenols"	"Furanoid lignans"	"Lignan glycosides"	"Lignan lactones"	"Fatty Acyls"	"Glycerophospholipids"	"Prenol lipids"	"Saccharolipids"	"Steroids and steroid derivatives"	"5-5-dinucleotides"	"5-deoxyribonucleosides"	"Purine nucleosides"	"Purine nucleotides"	"Pyrimidine nucleosides"	"Pyrimidine nucleotides"	"Allyl-type 1,3-dipolar organic compounds"	"Carboxylic acids and derivatives"	"Hydroxy acids and derivatives"	"Keto acids and derivatives"	"Organic phosphonic acids and derivatives"	"Organic phosphoric acids and derivatives"	"Organic sulfonic acids and derivatives"	"Organic sulfuric acids and derivatives"	"Peptidomimetics"	"Organonitrogen compounds"	"Organooxygen compounds"	"Aryl halides"	"Azaphilones"	"Azoles"	"Benzimidazoles"	"Benzodiazepines"	"Benzodioxoles"	"Benzopyrans"	"Benzothiazines"	"Benzothiophenes"	"Biotin and derivatives"	"Diazanaphthalenes"	"Diazinanes"	"Diazines"	"Dioxepanes"	"Dithiolanes"	"Imidazopyrimidines"	"Indoles and derivatives"	"Isoindoles and derivatives"	"Isoquinolines and derivatives"	"Naphthopyrans"	"Oxanes"	"Oxepanes"	"Pteridines and derivatives"	"Pyridines and derivatives"	"Pyrroles"	"Quinolines and derivatives"	"Tetrahydroisoquinolines"	"Tetrapyrroles and derivatives"	"Thienopyrimidines"	"Thioethers"	"2-arylbenzofuran flavonoids"	"Anthracyclines"	"Cinnamic acids and derivatives"	"Coumarins and derivatives"	"Depsides and depsidones"	"Diarylheptanoids"	"Flavonoids"	"Isoflavonoids"	"Linear 1,3-diarylpropanoids"	"Macrolactams"	"Tannins"	"Tetracyclines"
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int1_GD5_1_12060"	973	7	124	23	100	21	3	376	9	119	1	98	0	92	6	1	0	2	78	13	15	10	2	11	0	16	4	60	2	14	2	3	5	10	0	1	3	363	3	1	1	2	2	3	1	9	119	1	3	3	4	1	1	6	5	1	2	1	4	7	0	0	11	14	2	2	8	0	6	2	4	3	4	1	0	3	0	3	0	15	3	0	3	59	5	2	1	1	0
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int2_GA4_1_12029"	989	6	131	21	105	20	3	376	13	113	1	102	1	97	4	1	1	2	85	11	14	13	4	9	1	17	3	67	1	13	2	3	5	9	0	1	3	364	3	1	1	2	2	2	1	13	113	1	2	4	4	0	0	7	5	1	4	1	4	7	0	0	14	15	2	2	9	0	5	1	3	2	4	1	0	5	1	3	0	17	5	0	5	59	5	2	1	0	0
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int3_BB5_1_11989"	954	6	131	28	98	22	3	360	10	108	1	95	0	92	5	1	0	3	85	13	14	12	4	13	0	20	3	57	2	13	4	2	6	8	0	2	3	344	2	1	0	2	4	4	3	10	108	1	3	4	4	0	1	6	4	1	3	1	4	6	0	0	11	15	2	2	8	0	6	1	3	0	5	1	0	4	0	2	1	13	5	0	3	61	4	2	1	0	0
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Rd1_RB4_1_11936"	883	7	120	21	94	20	2	339	12	95	0	95	0	78	5	1	1	3	76	11	14	10	3	9	1	15	3	57	0	15	3	3	4	8	0	2	2	326	3	1	0	2	3	3	1	12	95	0	2	3	4	1	1	3	5	0	4	1	5	7	0	0	13	11	3	1	8	1	8	1	4	2	3	1	0	3	0	3	1	13	3	0	4	45	5	2	1	0	1
"neg_DANCE_RDvsIR_2021_EM_Censet_Int1_RC3_1_11943"	499	2	82	11	39	13	1	177	5	75	1	39	1	53	1	0	1	1	57	6	6	9	0	8	0	7	2	28	0	1	1	0	7	5	0	0	1	170	1	1	0	2	3	0	0	5	75	1	1	1	0	0	2	2	0	1	1	0	1	6	0	0	7	9	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	3	0	0	0	47	3	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Censet_Int2_RC6_1_11949"	519	2	73	13	45	12	1	194	7	77	2	39	1	53	1	0	1	1	51	7	4	7	1	7	0	9	2	32	0	1	1	0	6	5	0	0	1	186	1	1	1	2	3	0	0	7	77	2	1	1	0	0	3	3	1	1	1	0	2	6	0	0	4	8	1	1	2	0	0	1	0	0	1	1	0	1	1	0	0	4	0	0	0	47	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Censet_Int3_GE2_1_12068"	561	2	77	13	46	12	3	208	5	82	2	40	1	70	1	0	1	1	58	6	3	8	1	8	1	8	2	31	1	2	1	0	7	4	0	0	3	201	1	1	0	2	3	0	0	5	82	2	1	1	0	0	3	3	1	1	2	0	2	5	0	0	4	6	1	0	3	0	0	2	1	1	1	1	0	1	1	1	0	6	0	0	2	56	3	0	0	0	2
"neg_DANCE_RDvsIR_2021_EM_Censet_Rd1_GA8_1_12033"	476	2	70	11	36	11	1	193	4	62	2	36	1	47	1	0	1	1	52	7	2	6	0	7	0	10	1	25	0	0	1	0	6	4	0	0	1	186	1	1	0	2	3	0	0	4	62	2	1	1	0	0	2	4	1	1	1	0	2	5	0	0	4	5	1	1	1	0	0	2	0	1	0	1	0	2	1	0	0	4	0	0	1	40	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int1_RB2_1_11931"	506	3	82	14	44	11	2	181	5	59	1	51	0	53	3	0	0	0	59	6	3	11	2	4	1	16	2	23	1	2	2	2	3	3	0	1	2	172	2	1	1	2	1	2	0	5	59	1	2	4	2	0	4	8	0	1	1	0	1	3	0	3	9	7	1	0	1	0	0	1	0	0	0	1	0	2	0	0	0	6	1	0	1	42	2	0	0	0	1
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int2_RD4_1_11955"	533	2	91	15	36	10	4	191	5	62	1	55	1	60	2	0	0	1	71	6	3	7	1	4	1	12	1	19	1	2	2	1	2	5	0	0	4	185	1	1	1	1	1	1	0	5	62	1	0	3	1	0	3	7	0	0	1	0	1	4	0	3	6	13	2	0	3	0	0	1	3	1	2	0	0	1	1	2	0	4	3	0	1	46	2	0	0	0	2
