"Organic compounds"	"Alkaloids and derivatives"	"Benzenoids"	"Lignans, neolignans and related compounds"	"Lipids and lipid-like molecules"	"Nucleosides, nucleotides, and analogues"	"Organic 1,3-dipolar compounds"	"Organic acids and derivatives"	"Organic nitrogen compounds"	"Organic oxygen compounds"	"Organohalogen compounds"	"Organoheterocyclic compounds"	"Organosulfur compounds"	"Phenylpropanoids and polyketides"
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int1_GD5_1_12060"	973	7	124	23	100	21	3	376	9	119	1	98	0	92
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int2_GA4_1_12029"	989	6	131	21	105	20	3	376	13	113	1	102	1	97
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Int3_BB5_1_11989"	954	6	131	28	98	22	3	360	10	108	1	95	0	92
"neg_DANCE_RDvsIR_2021_EM_Cenmel_Rd1_RB4_1_11936"	883	7	120	21	94	20	2	339	12	95	0	95	0	78
"neg_DANCE_RDvsIR_2021_EM_Censet_Int1_RC3_1_11943"	499	2	82	11	39	13	1	177	5	75	1	39	1	53
"neg_DANCE_RDvsIR_2021_EM_Censet_Int2_RC6_1_11949"	519	2	73	13	45	12	1	194	7	77	2	39	1	53
"neg_DANCE_RDvsIR_2021_EM_Censet_Int3_GE2_1_12068"	561	2	77	13	46	12	3	208	5	82	2	40	1	70
"neg_DANCE_RDvsIR_2021_EM_Censet_Rd1_GA8_1_12033"	476	2	70	11	36	11	1	193	4	62	2	36	1	47
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int1_RB2_1_11931"	506	3	82	14	44	11	2	181	5	59	1	51	0	53
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int2_RD4_1_11955"	533	2	91	15	36	10	4	191	5	62	1	55	1	60
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int3_RC4_1_11944"	493	1	88	13	36	10	3	165	5	57	1	55	1	58
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int4_BC2_1_11994"	565	2	84	15	41	13	3	212	6	59	1	62	2	65
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int5_RA7_1_11928"	483	2	65	16	39	10	2	179	6	56	1	54	1	52
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int6_GB1_1_12034"	580	4	86	13	47	11	3	210	3	72	1	59	1	70
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd1_GA5_1_12030"	609	3	93	15	49	9	3	220	6	72	1	71	1	66
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd2_BD6_1_12009"	560	3	83	13	42	12	4	211	5	68	1	54	2	62
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd3_GA3_1_12028"	617	4	93	18	47	12	2	229	4	75	1	64	1	67
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd4_RB6_1_11938"	586	4	83	14	46	8	3	210	7	74	1	69	1	66
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd5_BC3_1_11995"	604	2	82	19	51	12	1	224	6	69	1	71	1	65
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Int1_BE1_1_12015"	554	4	77	14	50	12	2	224	3	70	1	49	2	46
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Int2_BE5_1_12019"	456	1	80	12	45	8	1	160	4	66	0	43	0	36
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd2_BB2_1_11983"	670	3	91	17	45	14	1	250	10	98	1	61	1	78
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd3_RD3_1_11954"	563	2	87	14	44	13	1	201	6	87	1	53	3	51
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd4_GE4_1_12070"	552	2	82	14	48	13	2	199	6	79	0	54	0	53
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd5_GC2_1_12046"	503	1	77	14	51	13	1	179	3	70	0	46	1	47
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Int1_BA7_1_11980"	675	1	98	9	49	22	2	256	9	74	3	56	2	94
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Int2_GE5_1_12071"	690	2	108	14	52	20	2	241	10	88	3	59	2	89
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Rd2_RE5_1_11967"	557	1	86	9	31	17	1	215	6	63	2	50	1	75
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Rd3_RE7_1_11969"	694	1	100	11	54	21	2	253	8	74	4	66	2	98
"neg_DANCE_RDvsIR_2021_EM_Klener_Int1_BB3_1_11987"	442	3	64	5	48	7	1	183	6	48	1	40	4	32
"neg_DANCE_RDvsIR_2021_EM_Klener_Int2_BB1_1_11982"	553	3	84	7	49	8	1	220	11	67	1	50	3	49
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd1_GC4_1_12048"	557	2	83	5	56	6	2	230	8	55	1	53	3	53
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd2_RE4_1_11966"	563	2	79	7	54	5	2	232	8	62	1	51	2	58
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd3_BC4_1_11996"	532	3	81	9	40	11	0	213	9	67	1	46	3	49
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd4_BD7_1_12013"	197	2	38	4	17	5	1	78	2	19	0	20	1	10
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Int1_GD2_1_12057"	1029	6	135	21	108	20	3	397	12	126	1	97	2	101
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Int2_RD6_1_11957"	896	6	128	20	92	19	2	351	11	100	1	84	1	81
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd1_GE1_1_12067"	911	5	124	16	93	19	2	361	12	100	1	88	1	89
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd2_RD2_1_11953"	1042	8	134	22	108	19	3	406	11	123	1	106	2	99
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd3_GC3_1_12047"	1072	6	129	24	115	17	2	431	13	123	1	100	2	109
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd4_BD1_1_12004"	959	6	130	20	99	14	1	370	12	111	1	100	1	94
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd5_BD8_1_12014"	1021	7	122	23	108	19	3	399	13	125	1	102	2	97
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd6_GB8_1_12044"	955	5	131	17	104	19	2	367	11	105	2	100	1	91
"neg_DANCE_RDvsIR_2021_PG_Censet_Int1_GA2_1_12027"	567	2	81	13	47	14	1	207	5	81	3	45	1	67
"neg_DANCE_RDvsIR_2021_PG_Censet_Int2_GA6_1_12031"	482	2	72	11	39	15	2	182	5	69	2	35	0	48
"neg_DANCE_RDvsIR_2021_PG_Censet_Int3_RA1_1_11922"	483	2	71	9	37	12	1	182	5	66	2	38	1	57
"neg_DANCE_RDvsIR_2021_PG_Censet_Int4_GB2_1_12035"	478	2	71	6	43	11	1	188	3	65	3	35	1	49
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd1_BA3_1_11976"	552	2	82	15	48	13	1	202	5	81	3	41	2	57
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd2_RA2_1_11923"	508	2	69	14	43	10	2	196	4	75	2	38	1	52
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd3_BD2_1_12005"	449	2	68	9	36	11	1	174	4	65	3	33	1	42
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd4_GC1_1_12045"	412	1	63	6	34	12	1	158	4	57	2	30	0	44
